"nume","inceput","sfarsit","partid"
"Ştefan Burlacu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Ştefan-Alexandru Băişanu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Ştefan-Bucur Stoica","2012-12-19","2013-10-15","Grupul parlamentar al Partidului Democrat Liberal"
"Ştefan-Petru Dalca","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Steluța-Gustica Cătăniciu","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Tamara-Dorina Ciofu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Theodor Paleologu","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Theodor-Cătălin Nicolescu","2012-12-19","2015-05-12","Grupul parlamentar al Partidului Național Liberal"
"Tinel Gheorghe","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Titi Holban","2012-12-19","2014-03-03","Grupul parlamentar al Partidului Național Liberal"
"Toader Dima","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Traian Dobrinescu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Tudor Ciuhodaru","2012-12-19","2015-04-29","Grupul parlamentar Democrat şi Popular"
"Valentin Blănariu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Valentin Rusu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Valentin Gabriel Boboc","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Valeria-Diana Schelean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Valerian Vreme","2012-12-19","2013-05-14","Grupul parlamentar al Partidului Democrat Liberal"
"Valeriu-Andrei Steriu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Valeriu Ştefan Zgonea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Varol Amet","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Varujan Pambuccian","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Vasile Berci","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Vasile Bleotu","2012-12-19","2014-03-11","Grupul parlamentar al Partidului Social Democrat"
"Vasile Gudu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Vasile Horga","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Vasile Iliuță","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Vasile Mocanu","2012-12-19","2015-04-20","Grupul parlamentar al Partidului Social Democrat"
"Vasile Popeangă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vasile Varga","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Vasile-Cătălin Drăguşanu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Vasile-Daniel Suciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vasile Ghiorghe Gliga","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vicențiu-Mircea Irimie","2012-12-19","2013-01-22","Grupul parlamentar al Partidului Democrat Liberal"
"Victor Cristea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Victor Roman","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Victor-Gheorghe Manea","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Victor Paul Dobre","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Victor-Viorel Ponta","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Violeta Tudorie","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorel Hrebenciuc","2012-12-19","2014-10-21","Grupul parlamentar al Partidului Social Democrat"
"Viorel Palaşcă","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Viorel Ştefan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorel-Ionel Blăjuț","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Viorel Marian Dragomir","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Viorica Marcu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Virgil Delureanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Virgil Guran","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Vlad Marcoci","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Vlad-Alexandru Cosma","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Zisu Stanciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Zsolt Molnar","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Andrei Daniel Gheorghe","2014-06-11",,"Grupul parlamentar al Partidului Național Liberal"
"Florică Bîrsăşteanu","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
"Laura Marin","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
"Ovidiu Ioan Silaghi","2014-06-11","2014-09-01","Grupul parlamentar al Partidului Social Democrat"
"Petru-Sorin Marica","2014-06-11",,"Grupul parlamentar al Partidului Social Democrat"
