descr,lat,lon,cod
Clădirea a fost reconstituită pe locul casei părintești din Prislop.,,,BN-IV-B-01747
"Muzeul funcționează în localul fostei cazarmi, clădirea datând din 1889.",47.136317000000000,24.503313000000000,BN-II-m-B-01447
"Clădirea este monument istoric datând din secolul al XVIII-lea, sediul cazarmei Regimentului II românesc de graniță.",47.283896000000000,24.410043000000000,BN-II-m-A-01680
"Muzeul este organizat în casa tatălui compozitorului, Costache Enescu, casă în care George Enescu a locuit nouă ani și cuprinde 6 camere.",47.958240000000000,26.390704000000000,BT-II-m-B-01974
"Casa Zapolya este monument istoric datând din a doua jumătate a secolului al XV-lea, în acea vreme fiind un mic palat ce servea ca sediu Scaunului de Sebeș, Dietei Transilvaniei, mai târziu și ca reședință a voievozilor Provinciei. În 1581 și 1617 au avu",45.957894000000000,23.569639000000000,AB-II-m-A-00354
"Clădirea casei memoriale este monument istoric. Clădirea originală, aflată în stare de ruină în anul 1965, este restaurată complet în stilul arhitecturii populare, având caracteristicile celui mai vechi și mai răspândit tip de locuință de târgoveț din zo",47.737940000000000,26.663014000000000,BT-IV-m-A-02045
"Înființat într-o clădire, monument de arhitectură de la sfârșitul secolul al XVII-lea.",,,BT-II-m-B-02009
"Monument arhitectonic, construit în 1870, având destinații diverse (restaurant-hotel, alte utilități publice). Imobilul a fost grav afectat de cutremurul din mai 1990 și se află în restaurare.",45.272038000000000,27.974219000000000,BR-II-a-A-02131
"Monument de arhitectură modernă, construit în 1912, arhitect necunoscut. A fost folosită ca locuință a unui armator, apoi spital, policlinică.",45.272067000000000,27.976846000000000,BR-II-m-B-02068
"Clădirile care adăpostesc secțiile muzeului: Biserica domnească, monument de arhitectură feudală (secolul al XIV-lea). Sediul Secției de istorie se află într-o clădire monument istoric din 1897, inițial primul spital al orașului. Casa D. Noroceareprezint",45.141298000000000,24.675567000000000,AG-II-m-B-13656
Este casa părintească în care a locuit G. Bacovia.,46.569844000000000,26.908743000000000,BC-IV-m-A-00930
"Muzeul este adăpostit într-o clădire cu chenare de piatră la uși și ferestre, construită în 1940 după planurile arh. E. Canella și ale ing. D. Minovici, în stilul gotic englez al epocii Tudorilor.",44.484256000000000,26.074651000000000,B-II-m-A-19206
"Clădirile ce adăpostesc muzeul fac parte din conacul Polihronie Ioan (fost pitar, arhivar și casier al orașului Slatina, participant la evenimentele anului 1848). Casa cea mare, construită la sfârșitul secolului al XVIII-lea, are cinci camere. Pe latura",44.170883000000000,24.516360000000000,OT-II-m-B-08897
"Clădirea este monument de arhitectură, construit între 1894 - 1897 (arhitect Bogdan Petriceicu Hasdeu), restaurări 1962 - 1965, 1980.",45.135295000000000,25.726747000000000,PH-II-m-A-16395
"Monument arhitectonic (Palatul Cantacuzino), a fost construit între 1898 - 1900. Până în 1937, când a devenit locuința marelui muzician, clădirea a avut diverse destinații.",44.448679000000000,26.088300000000000,B-II-m-A-19869
"Muzeul este amenajat în Casa Romanit, frumos monument istoric de la începutul secolului al XIX-lea, completat cu două corpuri laterale în formă de U în 1883. Clădirea are parter și două etaje, cu o grădină cu fântână arteziană în mijloc.",44.444643000000000,26.091097000000000,B-II-m-B-19869
"Foișorul de foc este monument istoric și de arhitectură, construit în 1892. A funcționat ca Foișor de foc și Rezervor de apă. Oferă și azi o frumoasă panoramă a Bucureștiului de la balconul circular situat la 50 de metri înălțime.",44.440261000000000,26.120779000000000,B-II-m-B-18722
"Clădirea, monument istoric, construită în 1907, este sediul Casei de cultură și al muzeului.",43.775281000000000,24.502816000000000,OT-II-m-B-08834
"Clădirea este reconstruită în perioada 1971 - 1974, pe ruinele unei vechi case boierești atestată documentar la 1794.",45.148752000000000,26.823743000000000,BZ-II-m-A-02350
"Clădirea este monument de arhitectură, palat în stil baroc, construit în 1762, arhitect Anton Frantz Hillebrandt. A fost sediul Episcopiei Romano-Catolice până în 1971. În 1896, la Oradea, s-a inaugurat prima clădire special destinată unui muzeu. La 17 i",47.049649000000000,21.923906000000000,BH-II-m-A-01042
"Teatrul Vechi „Mihai Eminescu”, monument istoric de artă și arhitectură, cel mai vechi edificiu teatral din spațiul culturii românești , fondat la 1817, este realizat în stilul barocului vienez (barocul târziu). Proiectant este arhitectul imperial, oravi",45.040646000000000,21.718419000000000,CS-II-m-A-11154
Clădirea muzeului este monument istoric și datează din secolul al XV-lea.,45.635842000000000,25.581191000000000,BV-II-a-A-11589
Muzeu organizat în fosta casă a familiei Lovinescu.,47.465314000000000,26.299689000000000,SV-III-m-B-05684
"Clădirea muzeului datează din 1893 și este monument de arhitectură. A fost inițial primărie, apoi poștă. A fost restaurată în 1973, 1978, 1989.",44.176352000000000,28.654913000000000,CT-II-m-A-02850
"Clădirea care adăpostește muzeul este construită în anul 1945 cu sprijinul și cheltuiala lui Constantin Ifrim, originar din comuna Buciumeni. Destinația inițială a fost de atelier de covoare și ceramică pentru aproximativ 60 de lucrătoare. După desființa",46.034221000000000,27.292036000000000,GL-II-m-B-03075
Clădire construită în 1905 după proiectul arhitectului Alexandre Clavel.,45.028865000000000,25.398436000000000,DB-IV-A-17824
"Clădirea a fost ridicată în 1924, după planurile arhitectului Maior Ion Răducănescu, respectând și indicațiile artistului.",44.933593000000000,25.452193000000000,DB-IV-A-17788
"Clădirea este monument istoric și de arhitectură baroc provincial austriac, a fost construit în 1753, în timpul Mariei Tereza, cu destinația de cazarmă pentru grăniceri.",45.414399000000000,22.213844000000000,CS-II-m-A-11063
"Clădire monument istoric: Cazinoul cu coloane (1862), arhitect Daderer.",44.887984000000000,22.424937000000000,CS-II-m-A-11004.03
"Clădirea este construită în 1926, arhitect Ion Cernescu. Inițial a fost destinată găzduirii de manifestări culturale, apoi o parte din local a găzduit temporar sediul filialei Oltenița a BNR și Sfatul popular raional. Din 1969, clădirea a devenit proprie",44.085999000000000,26.636797000000000,CL-II-m-B-14701
"Expoziția este adăpostită în casa Dobrescu, monument de arhitectură de la înc. secolului al XIX-lea.",,,DB-II-m-B-17667
Clădirea muzeului a fost construită în anii 1937 - 1939.,45.437449000000000,28.055371000000000,GL-II-m-B-03046
"Clădirea este monument istoric, sediul fostei Prefecturi de Vlașca. Un prim corp datează din secolul al XIX-lea (1777 - 1778), iar în 1903 se mărește și se modernizează.",43.886406000000000,25.963587000000000,GR-II-m-B-14876
"Monument istoric, categoria A, curte boierească",44.209891000000000,26.363239000000000,GR-II-a-A-15013
"Castelul Bethlen sau „Magna Curia”, care adăpostește muzeul din Deva este cea mai veche clădire monument istoric al Devei păstrată. În anul 1582, guvernatorul Francisc Geszty a ridicat o casă la poalele cetății Deva. În această casă au locuit voievozii S",45.885884000000000,22.898308000000000,HD-II-m-A-03225
Muzeul ființează într-un edificiu datând din prima jumătate a secolului al XX-lea.,45.837045000000000,23.194633000000000,HD-II-a-D-03375.11
Clădirea este monument de arhitectură și a fost construită în a doua jumătate a secolului al XIX-lea. A suferit o restaurare de interioare în 1965.,45.843968000000000,27.431749000000000,GL-II-m-A-03092
"Clădirea, monument istoric și de arhitectură, a fost construită între 1800 - 1806, în stil neoclasic.",47.167423000000000,27.579146000000000,IS-II-m-A-03930
Monument istoric și de arhitectură construit în 1936 în stil neoclasic.,47.173430000000000,27.580547000000000,IS-II-m-B-03919
"Clădirea este monument istoric, construită în 1838 de către Veneamin Costache. Casa a devenit proprietatea lui Petru Poni în anul 1880. În 1971, Margareta Poni, fiica savantului, în urma aprobării unei cereri adresate guvernului țării, a donat Complexulu",47.172644000000000,27.580632000000000,IS-II-m-B-03918
"Edificiu de secol XIV, castelul cunoaște numeroase etape de construcție care îi vor imprima o caracteristică gotică și renascentistă. Important obiectiv politic și social, castelul va fi în centrul atenției arhitecților, care se vor ocupa de refacerea lu",45.749141000000000,22.888279000000000,HD-II-m-A-03344
Clădirea a fost reconstruită după fotografia unei case țărănești din secolul al XVIII-lea.,46.169974000000000,22.798622000000000,HD-IV-m-B-03491
Clădirea muzeului este tip vilă și datează din 1961.,45.416585000000000,23.371136000000000,HD-II-m-B-03409
Clădirea este monument istoric.,44.618818000000000,27.581318000000000,IL-II-m-B-14149
"Casa a fost construită de Vasile Alecsandri, în 1867 și este declarată monument de arhitectură.",47.066737000000000,26.850198000000000,IS-IV-m-B-04202.02
Clădire construită în 1926.,44.624930000000000,22.666472000000000,MH-II-m-B-10187
"Monument de arhitectură, construcție laică, din perioada lui Antonie Vodă Ralet, din anii 1673 - 1679, casa a fost anexă a vechii Curți Domnești din Iași și sediul tiparniței lui Dosoftei, până în 1686, când acesta a fost nevoit să plece în Polonia. Dire",47.159031000000000,27.586888000000000,IS-II-m-A-03963
Casa Vasile Pogor este monument de arhitectură și a fost construită între anii 1855 - 1858.,47.172048000000000,27.576257000000000,IS-IV-m-B-04358
"Clădirea este monument de arhitectură, construit de vornicul Alecsandri în 1780, folosit ca locuință și apoi ca sediu al Stației de salvare a județului Iași. Restaurată între anii 1972 - 1976.",47.178962000000000,27.567178000000000,IS-II-m-B-03701
"Clădirea care adăpostește muzeul a fost construită în anul 1730, în stil baroc.",47.928148000000000,23.889866000000000,MM-II-m-A-04711
Monument de arhitectură de pe la 1880 clădirea a fost locuința scriitorului și a familiei sale. A suferit două restaurări: 1967 - 1968 și 1990 - 1994.,46.931625000000000,26.365937000000000,NT-II-m-B-10565
"Clădirea este o construcție din bârne de lemn, cu acoperiș din șindrilă, datând din 1830. A fost locuită până în 1959 de descendenții familiei Creangă. A fost restaurată în 1937 prin grija lui Nicolae Iorga. Alte restaurări: 1960, 1975, 1988.",47.197590000000000,26.354591000000000,NT-IV-m-A-10763
"Clădirea a fost construită în 1937 de către mitropolitul Visarion Puiu, cu destinația de palat arhieresc. Devenită casă de oaspeți, este pusă la dispoziția scriitorului Mihail Sadoveanu în 1944 și cedată spre folosință pe viață în 1949. A fost donată sta",47.257399000000000,26.209080000000000,NT-IV-m-B-10764
Clădirea a fost refăcută complet în 1984.,47.206948000000000,26.358157000000000,NT-IV-m-B-10769
"Clădirea actuală a muzeului este monument de arhitectură, în stil neoclasic. A fost construită la sfârșitul secolului al XIX-lea și a avut mai multe funcționalități: casă de locuit, birouri de instituții, notariat de stat.",46.926057000000000,26.931229000000000,NT-II-m-B-10663
Clădirea a fost construită pentru Școala nr. 1 Piatra Neamț.,46.933191000000000,26.368198000000000,NT-II-m-B-10566
Clădirea a fost construită în 1895. Destinația anterioară- centru de recrutare și comisariat.,46.329143000000000,24.282250000000000,MS-II-m-B-16048
"Clădirea este monument de arhitectură barocă de la jumătatea secolului al XIX-lea. A fost casă de locuit, cabinet de partid, liceu comercial, casă de copii. În 1983 au fost restaurate trei plafoane pictate.",46.925815000000000,26.924410000000000,NT-II-m-B-10660
"Clădirea este monument de arhitectură din secolul al XIX-lea, a adăpostit Fundația MELCHISEDEC - Școală de cântăreți, până în 1948. Ulterior a fost casă de locuit. Din 1962 - o clădire - și din 1982 a doua clădire, devin proprietatea muzeului.",46.933833000000000,26.925767000000000,NT-II-m-B-10686
"Clădirea muzeului este monument de arhitectură (1912 - 1913). A fost sediu al Prefecturii și Tribunalului județean; Sfatului popular raional și Tribunalului raional; Sfatului popular și apoi Consiliului popular municipal, Sindicatelor județene și municip",46.927855000000000,26.369574000000000,NT-II-m-B-10576
"Clădirea este monument de arhitectură. A fost construită în 1852 - 1853. A fost școala domnească, unde a învățat și Ion Creangă, apoi Şcoala nr.1 Tg. Neamț.",47.207061000000000,26.358378000000000,NT-II-m-B-10712
Clădirea muzeului este monument istoric și a fost construită la începutul secolului al XX-lea.,46.911806000000000,26.087868000000000,NT-II-m-B-10588
"Monument de arhitectură din a doua jumătate a secolului al XIX-lea ce a aparținut lui Iancu N. Dobruneanu (nepotul haiducului Iancu Jianu), clădirea este străjuită de coloane cu capiteluri compozite și frontoane neoclasice bogat decorate.",44.109476000000000,24.347847000000000,OT-II-m-B-20614
"Clădirea a fost construită în 1918 de familia avocaților Elena și Dionisie Hobilescu, care a locuit-o temporar, până în 1937, când a fost cumpărată de Cezar Petrescu, care a locuit aici cu familia în perioada 1937 - 1961. Clădirea a suferit reparații par",45.422941000000000,25.547584000000000,PH-II-m-A-16385
"Muzeul se află în casa familiei Dobrescu, monument de arhitectură datând de la sfârșitul secolului al XVIII-lea. Casa a fost restaurată în 1979 - 1980, după seismul din 1977.",44.939133000000000,26.024196000000000,PH-II-m-A-16283
"Clădirea muzeului este monument de arhitectură aparținând tipului de casă țărănească de epocă, construită în jurul anului 1785, fiind caracteristică târgurilor prahovene. Este cunoscută sub numele de „Casa Hagi Prodan”. Are o decorație în stuc realizată",44.938234000000000,26.027451000000000,PH-II-m-A-16255
"Atestată documentar in 1833, casa construită de polcovnicul Panca, este monument de arhitectură datând de la sfârșitul secolului al XVIII-lea, caracteristic zonei subcarpatice prahovene. Nicolae Iorga a locuit și a creat la Vălenii de Munte între anii 19",45.185995000000000,26.039888000000000,PH-II-a-A-16841
"Clădirea este monument de arhitectură în stil neogotic, de pe la 1910. A fost casă particulară a lui Luca Elefterescu, apoi casă particulară a lui Th. Masterson, iar după naționalizare sediul unor societăți științifice și culturale. Din 1973 este muzeu.",44.936234000000000,26.026792000000000,PH-II-m-A-16296
"Muzeul funcționează într-o anexă refăcută a clădirii ?Școlii de misionare”, școală înființată de Nicolae Iorga în anul 1922.",45.186100000000000,26.040440000000000,PH-II-a-A-16842
"Ansamblul arhitectonic de la Brebu reprezintă unul dintre cele mai importante monumente ctitorite de Matei Basarab (începând din 27 iun.1650) și desăvârșite de Constantin Brâncoveanu (din anul 1689), constituind o realizare reprezentativă a arhitecturii",45.181540000000000,25.767281000000000,PH-II-a-A-16375
"Conacul Bellu este monument de arhitectură, construit în stil arhitectonic vechi românesc, la jumătatea secolului al XIX-lea. A fost casa familiei Baron Alexandru Bellu.",45.001615000000000,26.234812000000000,PH-II-a-A-16805
"Clădirea muzeului este monument de arhitectură și a fost construită în 1865, în stil neoclasic. A avut diverse destinații: 1865 - 1878 gimnaziu; 1878 - 1898 liceu de stat; 1898 - 1944 internat, școală comercială, 1944 - 1967 liceu de fete, școală pedagog",44.939925000000000,26.026950000000000,PH-II-m-A-16246
"Palatul Culturii din Ploiești, construit în stil neoclasic, în 1872. După cutremurul din 1977, clădirea a fost reparată, fără a fi consolidată, urmând să fie restaurată.",44.941695000000000,26.021974000000000,PH-II-m-A-16247
"Muzeul este organizat în „Casa Cămărășiei”, clădire monument istoric construită la începutul secolului al XVIIl-lea.",45.234248000000000,25.937479000000000,PH-II-M-A-16707
"Muzeul funcționează într-o casă țărănească din secolul al XVIII-lea, cu interesante detalii de arhitectură franconă, tipică acestei zone.",45.786560000000000,24.029838000000000,SB-II-m-B-12368
"Monument de arhitectură, castelul Karoly, a fost construit între anii 1892 - 1894. În prezent se află în restaurare.",47.683982000000000,22.466778000000000,SM-II-a-A-05280
"Clădirea, declarată monument istoric, datează de la mijlocul secolului al XV-lea, fiind realizată, inițial, în stil gotic. A fost sediul franciscanilor din Mediaș. După anul 1948, a fost utilizată ca internat al unei școli, apoi, din 1970 ca muzeu.",46.168933000000000,24.352541000000000,SB-II-m-A-12438.01
"Casa care adăpostește muzeul a fost construită în jurul anilor 1880 - 1885 de meșteri populari din Cristur, județul Sălaj, și este compusă din două camere dispuse de o parte și de alta a tindei.",47.415063000000000,22.934474000000000,SM-II-m-B-05268
"Muzeul funcționează în două clădiri, dintre care una nouă, situate în curtea bisericii.",45.765794000000000,23.913164000000000,SB-II-m-A-12551
"Clădirea care găzduiește astăzi secția de artă a Muzeului Județean Satu Mare a fost construită în a doua jumătate a secolului al XIX-lea, în stil neogotic, fiind declarată monument istoric și arhitectural, și cunoscută sub numele de „Casa Vécsey”.",47.791256000000000,22.875763000000000,SM-II-m-A-05224
"Clădirea, construită în 1860, având până în prezent destinații multiple, este monument de arhitectură.",47.846661000000000,25.915864000000000,SV-II-m-B-05616
Actuala clădire a muzeului este un fost restaurant renovat.,47.554316000000000,25.889066000000000,SV-II-m-B-05551
Muzeul este adăpostit în fosta primărie a orașului construită în 1897 și declarată monument istoric.,47.347338000000000,25.356238000000000,SV-II-m-B-05662
"Muzeul este adăpostit într-o clădire monument de arhitectură, construită în 1900 și care a folosit ca sediu pentru Prefectura județului.",47.531416000000000,25.553806000000000,SV-II-m-B-05515
"Muzeul este adăpostit în cea mai importantă construcție gotică laică din Transilvania, care s-a construit în mai multe etape, de la sfârșitul secolului al XV-lea și până în secolele XVIII - XIX.",45.796975000000000,24.149590000000000,SB-II-m-A-12134
Clădirea muzeului a fost construită în 1930.,44.109035000000000,24.994514000000000,TR-II-a-B-14406
"Clădirea datează din 1568. A fost restaurată între anii 1968 - 1972. Înainte de înființarea muzeului (1972), aici a funcționat una din cele mai vechi farmacii din oraș, înființată în jurul anului 1600.",45.798354000000000,24.152008000000000,SB-II-m-A-12128
"Muzeul este adăpostit într-o clădire cu o arhitectură deosebită, construită la începutul secolul al XX-lea.",46.671911000000000,28.066552000000000,VS-II-m-A-06845
"Clădirea, datând din secolul al XVII-lea, este monument de arhitectură populară.",47.707011000000000,25.845020000000000,SV-II-m-B-05647
Clădire nouă.,43.971640000000000,25.327118000000000,TR-II-m-B-14251
Clădirea este monument în stil eclectic.,45.080323000000000,24.178610000000000,VL-II-m-B-09646
"Clădirea este în stil eclectic, construită în 1940 de arhitectul G. Simotta. A fost vila de reședință a familiei Simian.",45.106278000000000,24.362112000000000,VL-II-m-B-09613
"Clădirea muzeului a fost inițial o crâșmă, cu trei încăperi, construită din cărămidă, la sfârșitul secolului al XVIII-lea. După 1920 a fost cămin cultural, iar după 1962 club pentru elevii școlii din sat. Din 1994 a căpătat destinația de muzeu.",45.754685000000000,23.926400000000000,SB-II-m-B-12387
"Palatul central, monument de secol XIX, fost sediu al Prefecturii județului Tutova. Alte sedii: Casa Sturdza, monument datând din 1818, fostă casă particulară; Casa Miclescu, din secolul al XIX-lea, fostă casă particulară.",46.230437000000000,27.673175000000000,VS-II-m-A-06745
Casa a fost restaurată în perioada 1997 - 1998.,45.984765000000000,23.557145000000000,AB-IV-M-A-D00422
Clădire de epocă restaurată.,45.441322000000000,28.057670000000000,GL-II-m-B-03007
Monument memorial construit în două etape: 1923 - 1924 și 1936 - 1938 (când a fost construit etajul). Restaurări în 1973 - 1977 și 1983 - 1988. Arhitecți: George Cristinel și C. Poponiu; sculptori: Cornel Medrea și Ion Jalea; pictor: E. Săulescu.,45.872359000000000,27.207850000000000,VN-IV-m-A-0031
