"nume","inceput","sfarsit","partid"
"Árpád-Francisc Márton","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Atilla-Béla-László Kelemen","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila Korodi","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila-Gabor Markó","2012-12-19","2015-04-01","Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila-Zoltán Cseke","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Aurel Nechita","2012-12-19","2013-06-04","Grupul parlamentar al Partidului Social Democrat"
"Aurel Niculae","2012-12-19","2014-04-07","Grupul parlamentar al Partidului Naţional Liberal"
"Aurel Vainer","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Aurel Vlădoiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelia Cristea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelian Ionescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Aurelian Mihai","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Bogdan Nicolae Niculescu Duvăz","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Călin Potor","2012-12-19","2014-03-18","Grupul parlamentar al Partidului Naţional Liberal"
"Călin-Vasile-Andrei Matei","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Camelia Khraibani","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Camelia-Margareta Bogdănici","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Carmen Ileana Moldovan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin Tiuch","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin-Daniel Fenechiu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Cătălin-Florin Teodorescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cătălin-Marian Rădulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cezar Cioată","2012-12-19","2013-02-04","Grupul parlamentar Democrat şi Popular"
"Cezar-Florin Preda","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Claudia Boghicevici","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Claudiu-Andrei Tănăsescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Clement Negruţ","2012-12-19","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal"
"Constantin Adăscăliţei","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Avram","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin Dascălu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Constantin Galan","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Constantin Mazilu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Moisii","2012-12-19","2014-03-03","Grupul parlamentar Democrat şi Popular"
"Constantin Niţă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Rădulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin-Alin Bucur","2012-12-19","2013-04-15","Grupul parlamentar Democrat şi Popular"
"Constantin-Cosmin Enea","2012-12-19","2014-03-31","Grupul parlamentar al Partidului Naţional Liberal"
"Constantin-Stelian-Emil Moţ","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel Itu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel-Cristian Resmeriţă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel-George Comşa","2012-12-19","2014-03-31","Grupul parlamentar Democrat şi Popular"
"Cornelia Negruţ","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Corneliu-Florin Buicu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Corneliu-Mugurel Cozmanciuc","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Cornel-Mircea Sămărtinean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cosmin Necula","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Costel Alexe","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Costel Şoptică","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Costică Canacheu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cristian Buican","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Cristian Rizea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cristian-Constantin Roman","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cristian-George Sefer","2012-12-19","2014-09-06","Grupul parlamentar Democrat şi Popular"
"Cristina Nichita","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cristina-Ancuţa Pocora","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Damian Florea","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Dan Bordeianu","2012-12-19","2014-11-18","Grupul parlamentar al Partidului Naţional Liberal"
"Dan Ciocan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dan Nica","2012-12-19","2014-06-23","Grupul parlamentar al Partidului Social Democrat"
"Dan Coriolan Simedru","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Dan-Cristian Popescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Daniel Chiţoiu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Daniel Constantin","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Daniel Florea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel Iane","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Daniel Tudorache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel-Cătălin Zamfir","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Daniel-Ionuţ Bărbulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel-Stamate Budurescu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Daniel Vasile Oajdea","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Dan-Laurenţiu Tocuţ","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Dan Radu Ruşanu","2012-12-19","2013-04-29","Grupul parlamentar al Partidului Naţional Liberal"
"Dan-Ştefan Motreanu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Dănuţ Culeţu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Dénes Seres","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Dinu Giurescu","2012-12-19","2014-05-12","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Dorel Covaci","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dorel-Gheorghe Căprar","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dorinel Ursărescu","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Dorin Silviu Petrea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dragoş Gabriel Zisopol","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Dragoş-Ionel Gunia","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Dumitru Chiriţă","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Dumitru Niculescu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Dumitru Pardău","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Dumitru-Iulian Popescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dumitru-Verginel Gireadă","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Eduard Raul Hellvig","2012-12-19","2013-09-03","Grupul parlamentar al Partidului Naţional Liberal"
"Eduard-Stelian Martin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Elena Cătălina Ştefănescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Elena Gabriela Udrea","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Elena-Ramona Uioreanu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Eleonora-Carmen Hărău","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Emil Niţă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Erland Cocei","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Eugen Bejinariu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eugen Chebac","2012-12-19","2013-09-30","Grupul parlamentar Democrat şi Popular"
"Eugen Nicolicea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eugen Tomac","2012-12-19","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal"
"Eugen Constantin Uricec","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eusebiu-Manea Pistru-Popa","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Flavius-Luigi Măduţa","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florentin Gust Băloşin","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Florian Nicolae","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florian Daniel Geantă","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florica Cherecheş","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Florică Ică Calotă","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Florin Ciurariu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Florin Gheorghe","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florin Iordache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin-Alexandru Alexe","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Florin Aurelian Popescu","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florin-Costin Pâslaru","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin-Cristian Tătaru","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin Mihail Secară","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Gábor Kereskényi","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Gabriel Andronache","2012-12-19","2013-05-21","Grupul parlamentar al Partidului Democrat Liberal"
"Gabriela-Lola Anghel","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Gabriela-Maria Podaşcă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gavril Mîrza","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"George Becali","2012-12-19","2013-05-20","Grupul parlamentar al Partidului Naţional Liberal"
"George Ionescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"George Scarlat","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Georgian Pop","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Georgică Dumitru","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Gheorghe Ciobanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Coman","2012-12-19","2013-03-26","Grupul parlamentar Democrat şi Popular"
"Gheorghe Costin","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Gheorghe Dragomir","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Gheorghe Emacu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Firczak","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Gheorghe Frăticiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Ialomiţianu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Gheorghe Marin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Neţoiu","2012-12-19","2013-06-21","Grupul parlamentar Democrat şi Popular"
"Gheorghe Roman","2012-12-19","2015-06-16","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Şimon","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Udrişte","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Gheorghe-Dănuţ Bogdan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe-Eugen Nicolăescu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Gheorghe-Mirel Taloş","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Gheorghe-Vlad Nistor","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ghervazen Longher","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Gigel-Sorinel Ştirbu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Giureci-Slobodan Ghera","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Graţiela Leocadia Gavrilescu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Grigore Crăciunescu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Horia Cristian","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Horia Grama","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Hubert Petru Ştefan Thuma","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Hunor Kelemen","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Iacob Puşcaş","2012-12-19","2013-05-28","Grupul parlamentar Democrat şi Popular"
"Ileana Cristina Dumitrache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Adam","2012-12-19","2015-01-19","Grupul parlamentar al Partidului Social Democrat"
"Ioan Axente","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Balan","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Benga","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Cupşa","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ioan Dîrzu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Hulea","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Ioan Mihăilă","2012-12-19","2014-03-24","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Moldovan","2012-12-19","2013-01-22","Grupul parlamentar Democrat şi Popular"
"Ioan Munteanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Oltean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ioan Stan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Tămâian","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ioan Vulpescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioana-Jenica Dumitru","2012-12-19","2014-06-27","Grupul parlamentar Democrat şi Popular"
"Ioan-Cristian Chirteş","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ioan Sorin Roman","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ioan Viorel Teodorescu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Naţional Liberal"
"Ion Bălan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Călin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Cupă","2012-12-19","2013-04-09","Grupul parlamentar al Partidului Democrat Liberal"
"Ion Diniţă","2012-12-19","2015-04-01","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Ion Eparu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Marocico","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Ion Melinte","2012-12-19","2013-09-18","Grupul parlamentar Democrat şi Popular"
"Ion Mocioalcă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Ochi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Pârgaru","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Naţional Liberal"
"Ion Răducanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Şcheau","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Ion Stan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Tabugan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionaş-Florin Urcan","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ion-Bogdan Mihăilescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Cristinel Marian","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Ionel Arsene","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionel Palăr","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ionel Stancu","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Ion-Marcel Ciolacu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionuţ-Cristian Săvoiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ionuţ-Marian Stroe","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Iosif Moldovan","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Irinel Ioan Stativă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"István Antal","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"István Bónis","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"István Erdei Dolóczki","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Iulian Iancu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iulian Vladu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Iulian Claudiu Manda","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iulian-Radu Surugiu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Iuliu Nosa","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Iusein Ibram","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Károly Kerekes","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"László Borbély","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"László-Ődőn Fejér","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Laurenţiu Chirvăsuţă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Laurenţiu Nistor","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Laurenţiu Ţigăeru Roşca","2012-12-19","2014-08-11","Grupul parlamentar al Partidului Naţional Liberal"
"Liliana Ciobanu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Liliana Mincă","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Liviu Codîrlă","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Liviu Harbuz","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Liviu Laza-Matiuţa","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Liviu-Bogdan Ciucă","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Lucia-Ana Varga","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Lucian Militaru","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Lucian Şova","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Lucian-Manuel Ciubotaru","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Lucian Nicolae Bode","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Lucreţia Roşca","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Ludovic Orban","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Luminiţa-Pachel Adam","2012-12-19","2014-06-18","Grupul parlamentar Democrat şi Popular"
"Mădălin-Ştefan Voicu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Manuela Mitrea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Maria Dragomir","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Maria Grapini","2012-12-19","2014-03-25","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Maria Grecea","2012-12-19","2013-09-24","Grupul parlamentar Democrat şi Popular"
"Maria-Andreea Paul","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Marian Avram","2012-12-19","2015-06-24","Grupul parlamentar al Partidului Social Democrat"
"Marian Enache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marian Ghiveciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marian Neacşu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Marin Almăjanu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Marin Anton","2012-12-19","2014-03-03","Grupul parlamentar al Partidului Naţional Liberal"
"Marioara Nistor","2012-12-19","2014-05-28","Grupul parlamentar Democrat şi Popular"
"Mario-Ernest Caloianu","2012-12-19","2014-06-11","Grupul parlamentar Democrat şi Popular"
"Marius Manolache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihaela Stoica","2012-12-19","2013-04-22","Grupul parlamentar al Partidului Democrat Liberal"
"Mihai Baltă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Deaconu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Mihai Lupu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mihai Stănişoară","2012-12-19","2013-03-11","Grupul parlamentar al Partidului Democrat Liberal"
"Mihai Tararache","2012-12-19","2013-04-22","Grupul parlamentar Democrat şi Popular"
"Mihai Tudose","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Weber","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihai Alexandru Voicu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mihai-Aurel Donţu","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mihai-Bogdan Diaconu","2012-12-19","2014-10-13","Grupul parlamentar al Partidului Social Democrat"
"Mihai-Răzvan Sturzu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mihăiţă Calimente","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mihăiţă Găină","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea Dolha","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircea Duşa","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea Grosaru","2012-12-19","2014-02-03","Grupul parlamentar al minorităţilor naţionale"
"Mircea Lubanovici","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea Man","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea Roşca","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircea-Gheorghe Drăghici","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea-Nicu Toader","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Mircea-Titus Dobre","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Mircea-Vasile Cazan","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircia Muntean","2012-12-19","2014-06-02","Grupul parlamentar al Partidului Democrat Liberal"
"Miron Ignat","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
"Miron Alexandru Smarandache","2012-12-19","2013-10-21","Grupul parlamentar Democrat şi Popular"
"Miron Tudor Mitrea","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Monica Maria Iacob Ridzi","2012-12-19","2014-10-14","Grupul parlamentar Democrat şi Popular"
"Natalia-Elena Intotero","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Neagu Murgu","2012-12-19","2013-12-20","Grupul parlamentar Democrat şi Popular"
"Nechita-Adrian Oros","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Nechita-Stelian Dolha","2012-12-19",,"Grupul parlamentar al Partidului Naţional Liberal"
"Neculai Răţoi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Neviser Zaharcu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Nicolae Bănicioiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Nicolae Păun","2012-12-19",,"Grupul parlamentar al minorităţilor naţionale"
