Denumire,Localitate,Judet,Adresa,Infiintare,Descriere_lunga,Descriere_scurta,Descriere_cladire,Istoric,URL,Director,Profil,SIRUTA,Latitudine,Longitudine,Categorie,LMI,ID
Muzeul Județean Argeș,Pitești,Argeș,Str. Armand Călinescu nr. 44,1956,"Muzeul este găzduit în clădirea fostei prefecturi a județului, edificiu neoclasic impozant, datând din 1898 - 1899, situat în centrul orașului. Din 1998 s-au adăugat noi clădiri destinate desfășurării activității muzeului.  Expozițiile de bază: ecologie și protecția mediului, artă plastică românească (picturi din secolele XIX - XX și grafică locală), istorie, arheologie (tezaure din epoca romană descoperite la Rociu și Bălănești), istoria culturii și a civilizației moderne românești (casele memoriale Liviu Rebreanu și Dinu Lipatti) și Muzeul ""Linia de fortificații de pe granița de est a Imperiului roman"". Biblioteca muzeului deține peste 18.000 de volume.","Arheologie: colecții preistorice, tezaure din epoca romană de la Rociu și Bălănești, descoperiri medievale; istorie; artă modernă și contemporană (picturi sec. XIX - XX și grafică locală); științele naturii (ecologie și protecția mediului, diorame).  Per","Muzeul este găzduit în clădirea fostei Prefecturi a județului, edificiu neoclasic impozant datând din 1898 - 1899, situat în centrul orașului.",,http://www.muzeul-judetean-arges.ro/,Spiridon Cristocea,"Arheologie daco-romană, Istorie",13178,44.855465,24.870948,Muzeu județean,AG-II-m-A-13401.01,80
Galeria de Artă din Pitești,Pitești,Argeș,B-dul Republicii nr. 33,1956,"Expoziția prezintă artă românească modernă: pictură de Theodor Aman, Nicolae Grigorescu, Sava Henția, Alexandru Steriadi, Camil Ressu, Dimitrie Ghiață, Ion Țuculescu, Henri Catargi, Vasile Popescu, Ștefan Popescu, Ștefan Luchian și sculptură (donația Gheorghe Iliescu-Călinești).","Artă românească modernă: picturi de Th. Aman, N. Grigorescu, Sava Henția, Al. Steriadi, C. Ressu, D. Ghiață, I. Țuculescu, H. Catargi, V. Popescu, Șt. Popescu, Șt. Luchian; sculptură: donația Gh. Iliescu-Călinești.  The exhibition presents paintings by T",,,,Spiridon Cristocea,Artă plastică românească,13178,44.858312,24.869644,Muzeu județean,AG-II-m-A-13424.01,81
Muzeul Viticulturii și Pomiculturii,Golești,Argeș,Str. Banu Radu Golescu,1942,"Muzeul are patru secții: Casa memorială a familiei Golescu, amenajată în 1943 și Secția pedagogică (1962); Secția de istorie (1959) - reorganizată în 1982; Secția etnografică a județului Argeș (1963) - reorganizată în 1991 și Muzeul pomiculturii și viticulturii - în aer liber (1966). Conacul Goleștilor, construit în 1640, este monument istoric și a fost restaurat în perioada 1942 - 1943. În conac sunt expuse obiecte de istorie memorială: mobilier de epocă, obiecte personale ale familiei Golescu, manuscrise, artă decorativă, carte. Secția în aer liber cuprinde arhitectură și tehnică populară, instalații viticole și pomicole.  Muzeul pomiculturii și viticulturii este organizat pe trei sectoare complementare. Cel mai important sector este cel al gospodăriilor țărănești aduse din principalele zone viticole și pomicole ale țării, grupate sub forma unui sat românesc, care urmează conturul țării, și înlănțuirea provinciilor istorice naționale. Fiecare gospodărie viticolă sau pomicolă înglobează în cadrul ei, atât casa de locuit, cât și toate dependințele aferente și uneltele de lucru specifice. Al doilea sector este constituit din instalațiile și instrumentarul specific ocupațiilor principale, care se află în afara gospodăriilor, cum sunt: cramele, conacele de deal, povernele etc. Sectorul al treilea înfățișează istoria pomiculturii și viticulturii din România, din cele mai vechi timpuri până în prezent, pe baza dovezilor arheologice, numismatice, epigrafice, documentelor istorice etc. Cele mai numeroase construcții aflate în muzeul pomi-viticol în aer liber datează din secolele al XVIII-lea și al XIX-lea.","Muzeul are patru secții: Casa memorială a familiei Golescu, amenajată în 1943 și Secția pedagogică (1962); Secția de istorie (1959) - reorganizată în 1982; Secția etnografică a județului Argeș (1963) - reorganizată în 1991 și Muzeul pomiculturii și vitic","Conacul Goleștilor, construit în 1640, este monument istoric, restaurat în 1942 - 1943.","Muzeul cuprinde Conacul Goleștilor, cu patru secții: casa memorială a familiei Golescu, amenajată în 1943, secția pedagogică (1962), secția istorie (1959) - reorganizată în 1982, secția etnografică a județului Argeș (1963) - reorganizată în 1991; Muzeul",http://www.muzeulgolesti.ro,Filofteia Pally,"Etnografie - Arhitectură populară, Artă, Istorie, Memoriale",13427,,,Muzeu județean,AG-II-m-A-13697.01,85
Galeria de Artă Naivă din Pitești,Pitești,Argeș,Str. Armand Călinescu nr. 44 (corpul C),1971,"A fost primul muzeu de artă naivă din țară, Piteștiul fiind considerat de peste 30 de ani o adevarată capitală a artei naive românești. Sunt expuse lucrări de pictură, sculptură și grafică naivă, semnate de maeștri consacrați ai genului, cum ar fi: Gheorghe Babet, Gheorghe Boanca, Costel Bogatu, Anca Bota, Valentin Bota, Mihai Dascalu, Ion Maric, Petru Mihuț, Ghiță Mitrachita, Ion Negru, Ion Nicodim, Gheorghe Doja etc.","Lucrări de pictură, sculptură și grafică naivă, semnate de maeștri consacrați ai genului.  Naive paintings, sculpture, graphics signed by well known artists of the genre are on display.",,,,Spiridon Cristocea,Artă plastică românească,13178,44.854642,24.871002,Muzeu județean,,91
Casa Memorială „Ion Borcea”,Racova,Bacău,"adresă corespondență: C.P. 102, O.P. 1",1971,"Casa Memorială de la Racova este casa copilăriei și adolescenței profesorului universitar Ion Borcea. Casa a fost donată de sora savantului, Eufrosina Borcea Petrovanu. Astăzi găzduiește expoziția permanentă dedicată vieții și operei marelui savant, fondatorul oceanologiei românești, unul dintre primii oameni de știință care a înțeles importanța și rolul oceanului planetar. Expoziția de la casa memorială conține fotografii de epocă, copii după documente relevente pentru opera și viața savantului și piese autentice de mobilier.","Sunt expuse mobilier de epocă, fotocopii, documente, cărți amintind de activitatea de cercetare a naturalistului Ion Borcea (1879 - 1936), de studiile sale asupra peștilor și biocenozelor din Marea Neagră.  The collection is made up of period furniture,","Casa, cu o vechime de 100 ani, a fost locuită de familia Petrovanu, care a donat o parte a ei Muzeului de Științele Naturii (4 camere și un hol).","În 1966, s-a deschis prima expoziție memorială, iar în 1974 a fost reorganizată într-un spațiu mai mare. După cutremurele din 1977 și 1990, clădirea a fost deteriorată și restaurată în perioada 1991 - 1992.",,Gabriela Gurău,Memoriale - Istoria științelor naturii,24720,,,Muzeu județean,,98
Expoziția Foto-documentară „Ion Ionescu de la Brad”,Brad,Bacău,,,"Sunt valorificate fotografii și copii după documente privind viața și activitatea marelui savant Ion Ionescu de la Brad (1818 - 1891), agronom, economist și statistician, membru de onoare al Academiei Române, întemeietor al științei agricole moderne în România.","Fotografii și copii după documente privind viața și activitatea marelui savant Ion Ionescu de la Brad (1818 - 1891).  The collection contains photographs, copies of documents concerning the life and activity of the great scientist Ion Ionescu de la Brad",,,,,Memoriale - Istoria științei,23662,,,Muzeu județean,,99
Observatorul Astronomic „V. Anestin”,Bacău,Bacău,Str. Trotuș nr. 8,1980,"Clădirea, construită între anii 1910 - 1911, având destinația de castel de alimentare cu apă a orașului, este atribuită muzeului în 1981. Construcția are un diamentru de 12 m și o înălțime totală de 25 m, cu patru nivele (parter și trei etaje). Expoziția astronomică de bază este realizată în șase săli (etajele I și II). Sala de spectacole a Planetariului se află la ultimul etaj. Există și o mică sală de 15 mp pentru expoziții temporare, iar la parter o expoziție de carte de specialitate.  În 1982 s-a deschis expoziția permanentă ""Materia în Univers"", reactualizată în 1992 sub titlul ""Universul - de la Pământ la stele"", iar în anul 1984 s-a primit în dotare un proiector de Planetariu. Fiecare sală este consacrată unei subteme, după cum urmează: Sala I: Universul, Sala II: Familii astrale, Sala III: Soarele și Luna, Sala IV: Stelele, Sala V: Evoluție astrală, Sala VI: Astronomia în țara noastră. Expunerea este realizată pe panouri furniruite, de culoare castanie, pe care sunt amplasate texte centrale scurte, fotografii și diapozitive color (50 x 60 cm), elemente grafice, documente astronomice constând din fotografii mari (70 x 100 cm) referitoare la diferite nebuloase și roiuri stelare mai cunoscute, galaxii spirale, eclipse, activități umane pe Lună.","Tema expoziției este „Universul - de la Pământ la stele”. Fiecare sală este consacrată unei subteme, după cum urmează: „Structura materiei”; „categorii de aștrii”; „Stelele - de la Soare la sisteme astrale”; „Distanțe astrale. Unitatea materiei”; „Fenome","Clădire construită între anii 1910 - 1911, având destinația de castel de alimentare cu apă al orașului. Clădirea, cu diametrul de cca. 12 m și înălțimea totală de aproape 25 m, are 4 niveluri (P+3), la primele trei niveluri existând câte 3 încăperi și o","În 1982 s-a deschis expoziția permanentă, iar în 1984 s-a primit în dotare un proiector de Planetariu.",,Gabriela Gurău,Științele naturii - Observator,20304,46.565618,26.904403,Muzeu județean,,100
Expoziția Foto-documentară „Vasile Pârvan”,Perchiu,Bacău,,1972,"Expoziția este găzduită într-o încăpere din clădirea școlii primare din localitate. Prezintă copii de fotografii și de documente privind viața și activitatea marelui istoric și arheolog Vasile Pârvan (1882 - 1927), născut în acest sat.","Fotografii, copii de documente privind viața și activitatea marelui istoric și arheolog Vasile Pârvan (1882 - 1927).  Collection of photographs, copies of documents concerning the life and activity of the great historian and archaeologist Vasile Pârvan (",,,,,Memoriale - Personalități istorice,23109,,,Muzeu județean,,102
Muzeul de Artă din Bacău,Bacău,Bacău,Str. Nicolae Titulescu nr. 23,1957,"Secția de artă a muzeului deține o valoroasă colecție de pictură și sculptură. Alături de icoanele din secolele XVIII - XIX sunt expuse capodopere ale picturii de șevalet din România: Anton Cladek, M. Livaditti, C. D. Rosenthal, Ion Negulici, Nicolae Grigorescu, Ioan Andreescu, Ștefan Luchian, Nicolae Vermont, Gheorghe Petrașcu, Theodor Pallady, Nicolae Tonitza, Francisc Șirato, Camil Ressu, Iosif Iser, Nicolae Dărăscu, Vasile Popescu, Dimitrie Ghiață, Henri Catargi, Nicu Enea.  În spațiul destinat picturii contemporane întâlnim autori ca: Horia Bernea, Vasile Grigore, I. Boca. În expoziția permanentă a Secției de artă pot fi admirate și 210 lucrări de sculptură. Clădirea muzeului este o construcție nouă, ridicată în 1979, având arhitectura interiorului executată de arh. Cornel Dumitrescu.",Muzeul de artă deține o valoroasă colecție de pictură și sculptură. Alături de icoanele din sec. XVIII - XIX sunt capodopere ale picturii de șevalet din România și peste 200 de lucrări de sculptură.  The Art Department of the museum holds a valuable coll,"Clădirea muzeului este o construcție nouă, ridicată în 1979, având arhitectura interiorului executată de arh. Cornel Dumitrescu.","Muzeul cuprinde: Secția de Artă care cuprinde - Expoziția permanentă de artă, Galeriile „Alfa” și Palatul Ghica-Comănești (Expoziția de Artă Contemporană) - O.P.C.N. și Case Memoriale (Casa „G. Bacovia” și Casa „Nicu Enea”).",http://www.muzeuldeartabacau.wordpress.com,Elena-Lăcrămioara Istina,"Artă decorativă, Artă plastică românească, Etnografie",20304,46.566563,26.906654,Muzeu județean,,103
Muzeul de Etnografie și Artă Contemporană „Dimitrie N. Ghika Comănești”,Comănești,Bacău,Str. Republicii nr. 1,1984,"Monument istoric, Palatul Ghica-Comănești a fost construit în anul 1880, în stilul baroc târziu, de meșteri italieni. În anul 1988, palatul a fost transferat Muzeului județean, care a organizat, într-o aripă, expoziția etnografică și de artă populară din zona Trotuș, deschisă în 1989, iar în anul 1995 expoziția de artă plastică românească contemporană.  Colecția cuprinde obiecte privind ocupațiile tradiționale din zona Trotuș și obiceiurile de iarnă din aceeași zonă, meșteșuguri, industria casnică, țesături de interior, costume tradiționale.","Monument istoric, Palatul Ghica-Comănești a fost construit în anul 1880, în stilul baroc târziu, de meșteri italieni. În anul 1988, palatul a fost transferat Muzeului județean, care a organizat, într-o aripă, expoziția etnografică și de artă populară din","Monument istoric, Palatul Ghica-Comănești a fost construit în anul 1880, în stilul baroc târziu, de meșteri italieni. Între 1945 - 1988 aici a funcționat „Casa pionierilor”.","În anul 1988, palatul a fost transferat Muzeului județean, care a organizat, într-o aripă, Expoziția etnografică și de artă populară din zona Trotuș, deschisă în 1989, Expoziția de artă plastică românească contemporană.",,,"Artă plastică românească, Etnografie",20830,46.420321,26.446649,Muzeu județean,BC-II-a-A-00816,106
Muzeul de Istorie din Buhuși,Buhuși,Bacău,Str. Bradului nr. 16,1977,"Muzeul este adăpostit în fostul conac al boierului Toader Buhuș, datând din sec. al XVIII-lea. În 1991 expoziția de istorie a fost reorganizată, prin dezafectarea sălii de istorie contemporană și îmbogățirea colecțiilor cu utilaje tehnice care să ilustreze istoria industriei textile din Buhuși: darac de scărmănat lână, mici subansamble, război de țesut, meliță, roți de tors, cataloage cu mostre de stofe, costume naționale, ștergare etc.","Muzeul este adăpostit în fostul conac al boierului Toader Buhuș, datând din sec. al XVIII-lea. Expune utilaje tehnice care ilustrează istoria industriei textile din Buhuși.  The museum is housed in the mansion of boyar Toader Buhuș, dating from the 18th",Muzeul este adăpostit în fostul conac al boierului Toader Buhuș.,"Muzeul a fost înființat ca o secție a Muzeului de Istorie din Bacău, cuprinzând documente de istorie contemporană cu referire la mișcarea muncitorească. În 1991 începe munca de reorganizare, prin dezafectarea sălii de istorie contemporană și îmbogățirea",http://www.cmiabc.ro/,Elena-Lăcrămioara Istina,"Arheologie, Istorie, Etnografie, Știință și tehnică",20787,46.718935,26.697973,Muzeu județean,BC-II-a-B-00801,107
Casa Memorială „Nicu Enea”,Bacău,Bacău,Str. Nicu Enea nr. 31,1970,"Casa în care a trăit și a lucrat pictorul Nicu Enea (1897 - 1960), construită la începutul secolului al XX-lea, a fost donată de soția acestuia pentru a deveni muzeu. Casa a fost renovată și redeschisă publicului pe 27 mai 2005.  Colecția cuprinde obiecte personale, fotografii, corespondență, 60 de lucrări de pictură și grafică semnate de Nicu Enea. Expoziția prezintă o parte importantă a operei pictorului băcăuan, elev al lui Camil Ressu, precum și ale pictorilor Jean Al. Steriadi, Nicolae Tonitza și alții.","Colecția conține obiecte personale, fotografii, corespondență, 60 de lucrări de pictură și grafică ale pictorului Nicu Enea (1897 - 1960).  The collection includes personal belongings, photographs, letters, and 60 works of painting and graphics signed by",Casa a fost construită la începutul secolului al XX-lea.,"Organizată în casa în care a trăit și a lucrat pictorul, donată de soția artistului.",http://muzeuldeartabacau.wordpress.com/; http://www.facebook.com/muzeul.medias#!/casamemoriala.nicuenea?sk=photos,Elena-Lăcrămioara Istina,"Artă plastică românească, Memoriale - Istoria literaturii",20304,46.572893,26.91609,Muzeu județean,BC-IV-m-B-00931,109
Colecția de etnografie „Preot Vasile Heisu” Răcăciuni,Răcăciuni,Bacău,,1972,"Colecția (donație făcută de preotul Vasile Heisu, în anul 1968) este expusă în clădirea Primăriei, construită între anii 1940 - 1944. Expoziția cuprinde piese de port popular din zonele: Răcăciuni, Orbeni, Pâncești, Parava, precum și scoarțe și ștergare din aceleași zone (circa 700 obiecte), de la sfârșitul secolului al XIX-lea și prima jumătate a secolului al XX-lea. Colecția a fost constituită timp de mai multe decenii de preotul V. Heisu din Răcăciuni. Cuprinde piese de port popular, textile de interior, obiecte etnografice diverse, piese de arheologie din sate de pe Valea Siretului: Răcăciuni, Orbeni, Pâncești, Parava, Valea Seacă și Corbasca. În expoziția permanentă sunt etalate costume populare, textile de interior și piese arheologice.","Expoziția cuprinde piese de port popular din zonele: Răcăciuni, Orbeni, Pâncești, Parava, precum și scoarțe și ștergare din aceleași zone (circa 700 obiecte), de la sfârșitul secolului al XIX-lea și prima jumătatea a secolului al XX-lea.  The exhibits in","Colecția este expusă în clădirea Primăriei, construită intre anii 1940 - 1944.","Donația a fost făcută de preotul Vasile Heisu, în anul 1968.",http://www.cmiabc.ro/,Elena-Lăcrămioara Istina,"Arheologie, Etnografie locală",24775,46.331214,27.005275,Muzeu județean,BC-II-m-B-00888,110
