ID,SIRUTA,codLMI,judetul,UAT,localitatea,tip,cult,gen,denumirea,datarea,utilizarea curentă,parohia,protopopiatul,(arhi)episcopia,mitropolia,patriarhia,descrierea,note,starea de conservare,longitudine,latitudine
2152,170532,VL-II-m-B-09686,Vâlcea,Comuna Ionești,Bucșani,biserică,ortodox,F,"Biserica ""Buna Vestire""",1743,,Parohia Bunavestire Bucșani,,Arhiepiscopia Râmnicului,Mitropolia Olteniei,,,,,,
2763,19490,AG-II-m-B-13700,Argeș,Comuna Uda,Gorani,biserică,ortodox,F,"Biserica ""Buna Vestire""",1808,cult,Parohia Gorani,,,,,,,,,
3174,50111,BZ-II-m-A-02493,Buzău,Comuna Vernești,Vernești,biserică,ortodox,F,"Biserica ""Buna Vestire""",1714-1715,lăcaș de cult parohial,Parohia Vernești,,Arhiepiscopia Buzăului și Vrancei,Mitropolia Munteniei și Dobrogei,,"Biserica, cu zidul de incintă, datează din anii 1714-1715. Are plan dreptunghiular, iar pictura a fost realizată în anul 1721. A suferit multe refaceri si lucrări de interventie, care i-au schimbat, mai ales la exterior, caracterul elementelor initiale. În prezent structura de rezistentă este grav avariată.",,,,
2440,174165,VL-II-m-B-09970,Vâlcea,Comuna Vlădești,Vlădești,biserică,ortodox,F,"Biserica ""Buna Vestire""","1773, adăugiri 1898",,Parohia Vlădești,,Episcopia Râmnicului,Mitropolia Olteniei,,,,,,
2320,171940,VL-II-m-B-09856,Vâlcea,Comuna Oteșani,Oteșani,biserică,ortodox,F,"Biserica ""Buna Vestire""",1740,,Parohia Burta-Mironești Oteșani,,Arhiepiscopia Râmnicului,Mitropolia Olteniei,,,,,,
2189,169226,VL-II-m-B-09727,Vâlcea,Comuna Copăceni,Copăceni,biserică,ortodox,F,"Biserica ""Buna Vestire""",1804,,Parohia Copăceni-Bălteni,Protopopiatul Horezu,Arhiepiscopia Râmnicului,Mitropolia Olteniei,Patriarhia Română,"Biserica a fost construită și pictată în 1804. Biserica are fațadele pictate în întregime cu diverse scene și personaje.Conform pisaniei, zugravii au fost Manole, Dinu - ""zograv ot sud Gorj"" - și calfele Dumitru și Dumitrașcu care au zugrăvit ctitoria cărturarului Șerban Copăcianu (unul dintre diaconii cărturari ai Episcopiei Râmnicului ce fusese însărcinat de către Chesarie cu transcrierea pentru tipar a predosloviilor Mineelor tălmăcite de el) din Valea Cernei - Vâlcea. În 1804, Manole, fostul ucenic al lui Oprea zugravul din Craiova, săvârșește frescele ctitoriei lui Șerban Copăcianu. Procedeul, provenind din Gorj, reprezentând ctitori pe fațadele lăcașului de cult, constituie o formulă iconografică specifică ce cunoaște o relativ largă răspândire, după 1820 el depășind granițele unui fenomen strict local. În acest caz, discursul pictural pare că face apel la figurile stilistice specific retoricii insistenței și repetiției cum ar fi: emfaza (acordarea unei importanțe deosebite unei figuri sau imagini), aliterația (repetarea unor imagini sau forme spre a produce un efect expresiv sau simbolic) și diafora (imaginea sau forma repetată capătă un înțeles fin nuanțat). Pictura de la biserica din Copăceni nu este numai expresia sintetică a unui program iconografic, ci este in același timp programul unui stil, al unui tip anume de expresivitate. Reprezentarea personajelor în arcadele oarbe din registrul superior al fațadelor, nu statuar ci în plin peisaj (brazi, stejari etc), utilizarea unui repertoriu cu motive decorative aparte ce perpetuează tradiția post brâncovenească, sunt elemente plastice specifice secolului al XIX-lea. Grafia desăvârșită a picturilor, monumentalitatea personajelor, cunoașterea anatomiei omului, atestă o dată în plus calitatea ce situează picturile realizate de Manole în fruntea creațiilor similare din epocă. Manole a fost ucenicul ""dascălului Oprea zugrav ot Craiova"", ulterior devine el însuși primul zugrav al unei echipe ce va realiza importante ansambluri de pictură exterioară în Oltenia estică, respectând un program ce presupunea largi cunoștiințe teologice, istorice și filozofice (Victor Brătulescu, Biserici din Vâlcea, II, fasc.93, BCMI, 1937). Biserica din Copăceni se afla în anul 2008 într-o satisfăcătoare stare de conservare, atât al construcției cât și al picturilor.",,,,
2205,168719,VL-II-m-B-09738,Vâlcea,Comuna Berislăvești,Dângești,biserică,ortodox,F,"Biserica ""Buna Vestire""",1820,,Parohia Rădăcinești,,Arhiepiscopia Râmnicului,Mitropolia Olteniei,,,,,,
3448,88109,HD-II-m-A-03247,Hunedoara,Comuna Băița,Băița,biserică,ortodox,F,"Biserica ""Buna Vestire""",1797,,Parohia Băița,Protopopiatul Brad,Episcopia Aradului,Mitropolia Banatului,Patriarhia Română,,,rea,,
4843,95729,IS-II-m-B-04184,Iași,Comuna Andrieșeni,Iepureni,biserică,ortodox,F,"Biserica ""Buna Vestire""",1806,,Parohia Iepureni,,,,,,,,,
9068,15180,AG-II-m-A-13772,Argeș,Comuna Călinești,Râncăciov,mănăstire,ortodox,M,"Ansamblul Mănăstirii ""Înălțarea Domnului"" Râncăciov",sec. XV-XIX,,Parohia Râncăciov,Protopopiatul Topoloveni,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,"Mănăstire de calugari, cel mai vechi asezamant religios cunoscut in comuna Calinesti, judetul Arges este Manastirea Rancaciov. Manastirea Rancaciov a fost atestata documentar pentru prima data in hrisovul lui Radu cel Mare din 19 iulie 1498 prin care intareste manastirii ocina în Cârsteni si veniturile date de Vlad Calugarul, domnul Tarii Romanesti. O alta marturie o constituie scrierea de pe piatra de deasupra usii de la intrarea in biserica de unde reiese faptul ca manastirea a fost rezidita de capitanul de paharnicei Arsenie Soimul intre 10 iunie 1647 si 17 septembrie 1648 sau din diata aceluiasi Arsenie din 10 octombrie 1652 prin care inzestreaza manastirea cu averi, vite si robi tigani, precum si din zapisul pe care Ioaniche, egumenul manastirii il da la 20 iulie 1685 preotului Nicolae din Campulung. Viata spiritula de la manastire il va impresiona chiar si pe Mitropolitul Varlaam, care , se va retrage in 1679 si va veni la aceasta manstire unde si moare in septembrie 1698.  La 26 octombrie 1700, Constantin Brancoveanu daruieste manastirii 300 de bolovani de sare de la Ocna cea Mica din Targoviste. LA 1786, egumenul Daniel zideste alaturi de jupanul Dumitrascu Bratianu din Racovita o biserica de zid in aceasta comuna. Manastirea se va gasi intr-o satre degradabila asa cum atesta catastihul intocmit la 13 oct. 1817. Noua zidire are loc in 1848. Din pisania manaastirii aflam ca seismul din 1940 a afectat-o grav, motiv pentru care s-au facut lucrari de consolidare intre 1941-1944. Dupa seismeel din 1977, 1986, 1990 nu s-a mai facut nicio interventie de consolidare, avariile s-au agravat. Fondurile oferite au fost insuficiente, restaurarea picturii murale de pe zidurile lacasului de cult fiind cele mai costisitoare. În prezent, din impunatoarea manatirea a ramas biserica. Sit arheologic.",,rea,,
2529,14003,AG-II-a-A-13467,Argeș,Comuna Aninoasa,Aninoasa,mănăstire,ortodox,M,"Ansamblul Mănăstirii ""Sf. Ierarh Nicolae"" Aninoasa",1677-1729,cult,Parohia Mănăstirii Aninoasa,Protopopiatul Câmpulung Muscel,Episcopia Argeșului și Muscelului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,"Mănăstirea Aninoasa a fost ctitorită în anul 1677 de marele clucer Tudoran Vlădescu, călugărit cu numele Teodosie. El a înzestrat-o cu pământ din moșiile Aninoasa, Slănicul de Jos și din mai multe sate din Teleorman, precum și vii în dealul Piteștilor. În testamentul făcut pe 29 mai 1682 hotărăște ca și zestrea fiicei lui, în cazul că nu va avea copii, să fie dată tot mănăstirii. Totodată lasă groaznice blesteme pentru cei din neamul lui, pentru alți boieri sau domni, care vor încerca să strice această legătură și că Mănăstirea să nu fie închinată altor mănăstiri străine după moartea lui, o închină mănăstirii din Câmpulung Muscel. Până la moartea lui în 1695 mai cumpără și alte moșii, lăsate tot mănăstirii pe care o înzestrează cu odoare sfinte, vase și clopote. Pentru toate aceste fapte îndatorează pe călugări și pe cei ce vor conduce locașul să-l puie la pomelnic și să-l pomenească veșnic. În 1684, deci la 2 ani după întocmirea lui, testamentul a fost întărit de voievodul Șerban Cantacuzino. Incinta dreptunghiulară - cu turn-clopotnită si chilii precedate de un portic, casă egumenească, paraclis, cuhnie cu bolti pe trompe - a fost construită în 1722-1729, fiind un valoros ansamblu arhitectural brâncovenesc. În 2004 au demarat lucrări de restaurare a mănăstirii. Mănăstire de maici.",,bună,,
2900,18572,AG-II-m-A-13842,Argeș,Comuna Sălătrucu,Văleni,mănăstire,ortodox,M,"Ansamblul Mănăstirii ""Sfânta Treime"" Văleni",ante 1665,cult și depozit carte,Mănăstirea Văleni,Protopopiatul Curtea de Argeș,Episcopia Argeșului și Muscelului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,"Așezământul monahal de la Văleni a apărut la mijlocul secolului al XVII-lea ca un mic lăcaș de cult închinat Sfintei Treimi de către schimonahul Zosim (Zaharia Grădișteanu). Ansamblul arhitectural de la Văleni cuprinde: Biserica Sf. Treime, construită între 1941-1955 pe ruinele celei vechi de la 1885 si distrusa de seismul din 1940; Biserica-bolniță ""Învierea lui Lazăr"" terminată în 1888; Clopotnița cu trei niveluri și foișor și Casa Stăreției datând din 1662. Mănăstirea Văleni a fost în decursul existenței sale și un important centru de cultură, Schimonahul Zosim organizând în Casa Stareției începând cu anul 1665 o școală de grămătici cu durata de 4 ani, învățământul fiind complet gratuit.",,foarte bună,,
3442,87754,HD-II-a-A-03241,Hunedoara,Comuna Baia de Criș,Baia de Criș,mănăstire,romano-catolic,M,Ansamblul Mănăstirii Franciscane,,,Parohia Romano - Catolică Baia de Criș,Protopopiatul Brad,Episcopia Aradului,Mitropolia Banatului,Patriarhia Română,,,,,
2880,14236,AG-II-a-A-13821,Argeș,Comuna Băiculești,Tutana,mănăstire,ortodox,M,Ansamblul Mănăstirii Tutana,sec. XV-XVIII,cult,Parohia Tutana,Protopopiatul Curtea de Argeș,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,,,
16077,150052,SV-II-m-A-05595,Suceava,Comuna Putna,Putna,mănăstire,ortodox,M,"Ansamblul Mănăstrii ""Adormirea Maicii Domnului"" Putna",sec. XV-XIX,,Parohia Mănăstirii Putna,Protopopiatul Rădăuți,Arhiepiscopia Sucevei și a Rădăuților,Mitropolia Moldovei și Bucovinei,Patriarhia Română,"10 iulie 1466 - Conform Letopisețelor putnene, se începe zidirea bisericii Mănăstirii Putna, care va fi terminată în anul 1469. Este prima ctitorie a voievodului Ștefan cel Mare. La 3 septembrie 1470 are loc sfințirea Mănăstirii Putna, ceremonie întârziată de campania contra tătarilor, terminată cu victoria de la Lipnic (Lipinți) pe Nistru. Începute la 10 iulie 1466, după cucerirea cetații Chilia (1465), lucrările de construcție a bisericii cu hramul „Adormirea Maicii Domnului“, vor fi terminate în anul 1469, slujba de sfințire (târnosirea) având loc la 3 septembrie același an. S-au construit apoi Casa Domnească (1473), chiliile, zidul de apărare cu turnurile aferente și Turnul Tezaurului, lucrările finalizându-se în anul 1481. De-a lungul veacurilor Mănăstirea Putna a trecut prin numeroase încercări ca incendii, năvăliri și ocupații străine, cutremure.Muzeul mănăstirii, reamenajat în anii 1976 și 2004, se află în partea de vest a incintei, alături de Paraclis. Aici se păstrează o parte din tezaurul artistic și istoric al mănăstirii, constând în manuscrise (Tetraevanghele, Psaltiri, cărti de învățătură, Leastvițe, Psaltichii) și broderii realizate în atelierele mănăstirii (epitafuri, acoperăminte pentru sfintele vase, pocrovețe, dvere, văluri de tâmplă, acoperăminte de morminte, veșminte preoțești), cărți de cult și de învățătură, odoare bisericești (sfinte vase, cruci ferecate, icoane, cădelnițe, candele), obiecte din ceramică, etc. Printre odoarele de mare preț se numără icoana făcătoare de minuni a Maicii Domnului adusă, după tradiție, din Constantinopol în 1472 de către Doamna Maria de Mangop, soția Sfântului Voievod Ștefan și craniul Sfântului Ierarh Ghenadie, mare făcător de minuni, ferecat în argint aurit și dăruit mănăstirii de ctitorul ei în anul 1488. Iconostasul ce împodobește biserica a fost realizat în anul 1773 din lemn de tei și tisă. Executat de meșteri locali din porunca și cu osteneala mitropolitului Iacob Putneanul, iconostasul este sculptat în stil baroc târziu. A fost restaurat.",,bună,,
22718,126932,OT-II-m-B-08817,Olt,Comuna Făgețelu,Chilia,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului și Sfântul Nicolae""",1830,biserică,Parohia Chilia Veche,"Protoieria Slatina I Sud, Cod Fiscal: 5342950, Adresa: Str. Lipscani, Nr.26, Tel/Fax: 0249-421660, 0733504013, Protoiereu Pc Pr. Marian Mazilu.",Episcopia Slatinei și Romanaților,Mitropolia Olteniei,Patriarhia Română,"Biserica “Sfântul Nicolae și Adormirea Maicii Domnului“ se află în localitatea Chilia, comuna Făgețelu. Ridicată în anul 1830 în stilul brâncovenesc, este una dintre frumoasele biserici de țară din zona Oltului. Lăcașul din Chilia se distinge prin tehnica mixtă în care a fost construită, din zid și lemn. Păstrează picturi exterioare, cuprinse într-o friză sub streașină, în jurul bisericii, și în pridvor, la intrare. În interior, se păstrează parțial ansamblul pictat.Biserica are formă de corabie, din cărămidă acoperită cu șiță. S-a început din temelie în anul 1830 și s-a reînnoit acoperișul în anul 1845, zugrăvindu-se în anul 1849 noiembrie 14. A fost zidită cu osteneala și cheltuiala preotului Marin Protopopescu și a logofătului Barbu Popescu și Ion Tufeanu.  Pisania, în limba română cu litere chirilice reține următoarele: „Cu ajutoriu sfintei și dă viață făcătoarei Treime ziditus-au această sfăntă și d[u]mnezăiască biserică unde să prăznuește hramu sf[â]nt[ului] erarh Nicolae și al Adormiri[i] Maici[i] D[o]mnului, sau început din temelie la leat ... și sau prenoit acoperemăntu ... și s-au zugrăvit acum la anu 18.. noemvr[i]e 14, au loat săvărșire în zilele ... voivod, prin osteneala și cheltuiala numiților acestora: preotu Marin Protopopescu, și d[umnealui] logofătu Barbu Popescu și Ion Gufeanu, cu soțiile lor, și cu fii lor, și mai ajutorănd și alți enoriași, și s-au sfințit dă sfințiia sa protopop Andrei S.C. ot Dejăști. Florea zugrav ot Aurești supt Vălcea, Dumitrache z[u]grav ot Peret supt Teleorman”.",,medie,,
2575,15411,AG-II-m-A-13594,Argeș,Comuna Cetățeni,Cetățeni,biserică rupestră,ortodox,F,"Biserica ""Adormirea Maicii Domnului și Izvorul Tămăduirii""",sec. XIV-XIX,,Episcopia Arges,,Episcopia Argeșului și Muncelului,,,"Biserica poarta doua hramuri: ""Adormirea Maicii Domnului"", pana in anul 1918, iar mai apoi si ""Izvorul Tamaduirii"".",,,,
18314,109844,MH-II-m-B-10286,Mehedinți,Comuna Șimian,Cerneți,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului și Sf. Dumitru""","1814, pictată și reparată în 1866 și în 1928",lăcaș de cult,Parohia Cerneti II,,Episcopia Severinului și Strehaiei,Mitropolia Olteniei,Patriarhia Română,,,bună,,
1087,76816,GL-II-m-B-03087.01,Galați,Comuna Nicorești,Nicorești,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1780,biserică,Parohia Nicoresti I,Protoieria Brăila,Arhiepiscopia Dunării de Jos,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,,,
2730,18448,AG-II-m-A-13667,Argeș,Comuna Recea,Deagu de Sus,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""","1765, reparată1839, 1860, pictură restaurată 1947",cult,Parohia Deagu de Sus,Protoieria Costești,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,medie,,
2537,14281,AG-II-m-B-13476,Argeș,Comuna Bălilești,Bălilești,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1777,cult,Parohia Românești-Bălilești,Protopopiatul Câmpulung Muscel,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,bună,,
2881,19409,AG-II-m-A-13822,Argeș,Comuna Uda,Uda,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""","1830-1933, rep. 1918",cult,Parohia Cioraca,Protopopiatul Pitești,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,foarte bună,,
2765,16622,AG-II-m-B-13702,Argeș,Comuna Hârsești,Hârsești,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1865,cult,Parohia Hârsești,Protoieria Costești,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,bună,,
2764,16622,AG-II-m-B-13701,Argeș,Comuna Hârsești,Hârsești,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1834,cult,Parohia Hârsesti,Protoieria Costești,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,,,bună,,
2038,24846,BC-II-a-A-00892,Bacău,Comuna Răchitoasa,Răchitoasa,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1698,,Parohia Răchitoasa si Secretariatul de Stat pentru handicapati,Protopopiatul Bacău Sud,Episcopia Romanului,Mitropolia Moldovei și Bucovinei,Patriarhia Română,"Biserica Mănăstirii Răchitoasa a fost ridicată în 1698 de marele clucer Ianaki- Enache.Biserica este dărâmată de cutremurul de la 1738, refăcută în 1739 de egumenul Daniil, reparată în 1836 de egumenul Iacov , transformată în cămin de bătrâni și penitenciar în 1885.",,medie,,
2686,19454,AG-II-m-A-13625,Argeș,Comuna Uda,Cotu,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1820,cult,Parohia Cotu,,,,,,,,,
2139,168835,VL-II-m-B-09658,Vâlcea,Comuna Budești,Bârsești,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1817,,Parohia Adormirea Maicii Domnului Bârsești,,Episcopia Râmnicului,Mitropolia Olteniei,,,,,,
2872,13766,AG-II-m-A-13814,Argeș,Orașul Topoloveni,Topoloveni,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1745,cult,Parohia Golestii Badii,,,,,,,,,
2288,171478,VL-II-m-B-09822,Vâlcea,Comuna Milcoiu,Milcoiu,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1875,,Parohia Milcoiu,,Arhiepiscopia Râmnicului,Mitropolia Olteniei,,,,,,
2867,18402,AG-II-m-B-13809,Argeș,Comuna Rătești,Tigveni,biserică,ortodox,F,"Biserica ""Adormirea Maicii Domnului""",1906,cult,Parohia Tigveni I Vale,Protopopiatul Topoloveni,Episcopia Argeșului,Mitropolia Munteniei și Dobrogei,Patriarhia Română,Biserica a fost zidită de Nicoliță Alexescu la 1906.,,bună,,
