Judet,Localitate,Codpostal
Prahova,Cornu de Sus (Dumbrava),107222
Prahova,Trestienii de Jos,107223
Prahova,Trestienii de Sus,107224
Prahova,Crivina,107276
Prahova,Ghighiu,107056
Prahova,Cartierul Dâmbu,107061
Prahova,Brătești,107551
Prahova,Hăbud,107553
Prahova,Poienarii Apostoli,107278
Prahova,Trestioara,107657
Prahova,Bughea de Sus,107596
Teleorman,Brătești,147272
Teleorman,Cătunu,147273
Teleorman,Copăceanca,147057
Teleorman,Marița,147059
Teleorman,Merișani (Băbăița),147013
Teleorman,Moșteni (Furculești),147146
Teleorman,Banov,147271
Teleorman,Preajba,147274
Teleorman,Țăvârlău,147276
Teleorman,Vătași,147277
Teleorman,Teleormanu,147202
Teleorman,Zimnicele,147221
Teleorman,Dorobanțu,147097
Teleorman,Gărăgău,147426
Teleorman,Plopi,147124
Teleorman,Tudor Vladimirescu,147302
Teleorman,Vânători,147171
Dolj,Salcia,207046
Dolj,Braniște (Filiași),205303
Dolj,Fratoștița,205304
Dolj,Uscăci,205306
Olt,Cherleștii Moșteni,237471
Olt,Batia,237146
Olt,Câmpu Mare,237147
Arad,Cicir,317406
Arad,Hunedoara Timișană,317314
Arad,Peregu Mic,317241
Arad,Sânleani,317206
Arad,Sederhat,317237
Arad,Tisa Nouă,317123
Arad,Variașu Mare,317201
Arad,Variașu Mic,317202
Arad,Arăneag,317361
Arad,Agrișu Mic,317186
Arad,Botfei,317187
Arad,Comănești,317189
Arad,Groșeni,317017
Arad,Mânerău,317056
Arad,Satu Nou,317216
Arad,Coroi,317098
Arad,Susag,317103
Arad,Tălmaci,317106
Arad,Rogoz de Beliu,317101
Arad,Șiad,317104
Arad,Bulci,317022
Arad,Căpălnaș,317051
Arad,Căprioara,317271
Arad,Corbești,317246
Arad,Obârșia,317248
Arad,Ilteu,317247
Arad,Julița,317382
Arad,Lalașinț,317036
Arad,Hălăliș,317273
Arad,Pârnești,317274
Arad,Roșia Nouă,317249
Arad,Lupești,317383
Arad,Stejar,317386
Arad,Temeșești,317276
Arad,Troaș,317278
Arad,Dumbrăvița,317033
Arad,Groșii Noi,317034
Arad,Slatina de Mureș,317038
Arad,Cociuba,317116
Arad,Revetiș,317118
Arad,Roșia,317119
Arad,Aciuța,317261
Arad,Dumbrava,317263
Arad,Groși,317392
Arad,Lazuri,317393
Arad,Măgulicea,317394
Arad,Mermești,317396
Arad,Păiușeni,317081
Arad,Feniș,317148
Arad,Pescari,317153
Arad,Seliștea,317071
Arad,Budești,317262
Arad,Tălagiu,317267
Arad,Văsoaia,317082
Caraș-Severin,Crușovăț,327106
Caraș-Severin,Cuptoare (Cornea),327107
Caraș-Severin,Cracu Mare,327121
Caraș-Severin,Cracu Teiului,327122
Caraș-Severin,Dobraia,327123
Caraș-Severin,Ineleț,327129
Caraș-Severin,Poiana Lungă,327141
Caraș-Severin,Prisacina,327142
Caraș-Severin,Scărișoara,327146
Caraș-Severin,Țațu,327153
Caraș-Severin,Bogâltin,327112
Caraș-Severin,Borugi,327114
Caraș-Severin,Costiș,327118
Caraș-Severin,Mesteacăn,327134
Caraș-Severin,Negiudin,327136
Caraș-Severin,Pogara,327138
Caraș-Severin,Studena,327148
Caraș-Severin,Sub Crâng,327149
Caraș-Severin,Sub Plai,327151
Caraș-Severin,Topla,327152
Caraș-Severin,Zoina,327158
Caraș-Severin,Camena,327116
Caraș-Severin,Dolina,327124
Caraș-Severin,Lunca Florii,327132
Caraș-Severin,Lunca Zaicii,327133
Caraș-Severin,Strugasca,327147
Caraș-Severin,Zănogi,327154
Caraș-Severin,Zmogotin,327157
Caraș-Severin,Arsuri,327111
Caraș-Severin,Bojia,327113
Caraș-Severin,Cozia,327119
Caraș-Severin,Gruni,327126
Caraș-Severin,Hora Mare,327127
Caraș-Severin,Hora Mică,327128
Caraș-Severin,Obița,327137
Caraș-Severin,Pogara de Sus,327139
Caraș-Severin,Prislop (Cornereva),327143
Caraș-Severin,Ruștin,327144
Caraș-Severin,Zbegu,327156
Caraș-Severin,Cornișoru,327017
Caraș-Severin,Preveciori,327018
Caraș-Severin,Cicleni,327407
Caraș-Severin,Dalci,327408
Caraș-Severin,Mâtnicu Mare,327093
Caraș-Severin,Măgura,327437
Caraș-Severin,Maciova,327092
Caraș-Severin,Peștere,327094
Caraș-Severin,Lindenfeld,327056
Caraș-Severin,Poiana,327057
Caraș-Severin,Ruschița,327321
Caraș-Severin,Sălbăgelu Nou,327326
Caraș-Severin,Tincova,327327
Caraș-Severin,Zlagna,327411
Caraș-Severin,Bigăr,327026
Caraș-Severin,Cozla,327027
Caraș-Severin,Cârnecea,327396
Caraș-Severin,Comorâște,327212
Caraș-Severin,Jitin,327086
Caraș-Severin,Macoviște (Ciuchici),327081
Caraș-Severin,Marila,325605
Caraș-Severin,Măcești,325501
Caraș-Severin,Mercina,327421
Caraș-Severin,Nicolinț,327082
Caraș-Severin,Petrilova,327083
Caraș-Severin,Socolari,327077
Caraș-Severin,Potoc,327332
Caraș-Severin,Surducu Mare,327213
Caraș-Severin,Ticvaniu Mic,327398
Caraș-Severin,Vrăniuț,327316
Caraș-Severin,Iertof,327432
Caraș-Severin,Crușovița,327341
Caraș-Severin,Frăsiniș,327343
Caraș-Severin,Liborajdea,327346
Caraș-Severin,Lucacevăț,327347
Caraș-Severin,Martinovăț,327348
Caraș-Severin,Streneac,327351
Caraș-Severin,Brestelnic,327336
Caraș-Severin,Camenița,327337
Caraș-Severin,Cârșie,327338
Caraș-Severin,Cracu Almăj,327339
Caraș-Severin,Curmătura,327342
Caraș-Severin,Ogașu Podului,327349
Caraș-Severin,Valea Orevița,327352
Caraș-Severin,Valea Ravensca,327353
Caraș-Severin,Valea Sicheviței,327354
Caraș-Severin,Zănou,327356
Caraș-Severin,Zăsloane,327357
Caraș-Severin,Biniș,327176
Caraș-Severin,Fizeș,327031
Caraș-Severin,Gherteniș,327032
Caraș-Severin,Goruia,327225
Caraș-Severin,Giurgiova,327227
Caraș-Severin,Izgar,327427
Caraș-Severin,Rafnic,327257
Caraș-Severin,Vodnic,327258
Caraș-Severin,Șoșdea,327266
Caraș-Severin,Tirol,327177
Hunedoara,Bacea,337271
Hunedoara,Cuieș,337274
Hunedoara,Bălata,337451
Hunedoara,Bobâlna,337366
Hunedoara,Toplița Mureșului,337198
Hunedoara,Boholt,337454
Hunedoara,Boiu,337367
Hunedoara,Folt,337368
Hunedoara,Boz,337107
Hunedoara,Brădățel,337166
Hunedoara,Petrești,337168
Hunedoara,Godinești,337557
Hunedoara,Bărăștii Iliei,337106
Hunedoara,Căbești,337108
Hunedoara,Furcșoara,337109
Hunedoara,Gialacuta,337111
Hunedoara,Ciungani,337506
Hunedoara,Prăvăleni,337509
Hunedoara,Crăciunești,337048
Hunedoara,Peștera (Băița),337054
Hunedoara,Dupăpiatră,337137
Hunedoara,Grohoțele,337138
Hunedoara,Tarnița,337142
Hunedoara,Bretelin,337527
Hunedoara,Căoi,337528
Hunedoara,Herepeia,337529
Hunedoara,Cărăstău,337008
Hunedoara,Lunca (Baia de Criș),337009
Hunedoara,Văleni (Baia de Criș),337014
Hunedoara,Brotuna,337503
Hunedoara,Ocișor,337507
Hunedoara,Ociu,337508
Hunedoara,Ormindea,337053
Hunedoara,Săliștioara,337522
Hunedoara,Stoieneasa,337523
Hunedoara,Târnava,337113
Hunedoara,Rovina (Brănișca),337112
Hunedoara,Târnăvița,337114
Hunedoara,Bejan-Târnăvița,337453
Hunedoara,Săliște,337056
Hunedoara,Trestia,337057
Hunedoara,Potingani,335202
Hunedoara,Valea Bradului,335205
Hunedoara,Căzănești,337504
Hunedoara,Vața de Sus,337514
Hunedoara,Bejan,337452
Hunedoara,Chișcădaga,337457
Hunedoara,Păuliș,337459
Hunedoara,Cârnești,337491
Hunedoara,Federi,337347
Hunedoara,Govăjdia,337241
Hunedoara,Ohaba-Sibișel,337383
Hunedoara,Sibișel (Râu de Mori),337388
Hunedoara,Nucșoara,337423
Hunedoara,Bretea Streiului,337118
Hunedoara,Măceu,337122
Hunedoara,Plopi,337124
Hunedoara,Ohaba-Ponor,337352
Hunedoara,Ponor,337353
Hunedoara,Bucium-Orlea,337443
Hunedoara,Subcetate,337448
Hunedoara,Alun (Boșorod),337096
Hunedoara,Prihodiște (Boșorod),337102
Hunedoara,Târsa,337103
Hunedoara,Cioclovina,337099
Hunedoara,Luncani,337101
Hunedoara,Ursici,337104
Hunedoara,Unciuc,337391
Hunedoara,Valea Dâljii,337392
Hunedoara,Balșa,337015
Hunedoara,Almașu Mic de Munte,337016
Hunedoara,Ardeu,337017
Hunedoara,Costești,337327
Hunedoara,Costești-Deal,337328
Hunedoara,Ludeștii de Sus,337332
Hunedoara,Cucuiș,337077
Hunedoara,Măgureni,337078
Hunedoara,Orăștioara de Jos,337079
Hunedoara,Bucium,337326
Hunedoara,Oprișești,337022
Hunedoara,Poiana,337023
Hunedoara,Poienița,337024
Hunedoara,Techereu,337028
Hunedoara,Ciungu Mare,337411
Hunedoara,Romoșel,337413
Hunedoara,Poieni (Beriu),337081
Hunedoara,Sibișel (Beriu),337083
Hunedoara,Râpaș,337497
Hunedoara,Spini,337498
Hunedoara,Turdaș,337495
Timiș,Breștea,307146
Timiș,Clopodia,307231
Timiș,Dolaț,307011
Timiș,Ferendia,307232
Timiș,Folea,307471
Timiș,Iosif,307247
Timiș,Ofsenița,307013
Timiș,Partoș,307014
Timiș,Rovinița Mare,307147
Timiș,Rovinița Mică,307148
Timiș,Sângeorge,307192
Timiș,Stamora Română,307359
Timiș,Toager,307217
Timiș,Babșa,307046
Timiș,Baloșești,307411
Timiș,Bodo,307006
Timiș,Bucovăț (Dumbrava),307156
Timiș,Căpăt,307331
Timiș,Cladova,307051
Timiș,Coșava,307136
Timiș,Homojdia,307137
Timiș,Coșevița,307263
Timiș,Cutina,307053
Timiș,Drăgsinești,307166
Timiș,Mâtnicu Mic,307171
Timiș,Bulza,307262
Timiș,Groși,307266
Timiș,Dubești,307301
Timiș,Ierșnic,307302
Timiș,Jena,307181
Timiș,Luncanii de Jos,307413
Timiș,Luncanii de Sus,307414
Timiș,Paniova,307207
Timiș,Sălbăgel,307183
Timiș,Șanovița,307208
Timiș,Târgoviște,307008
Timiș,Fădimac,307007
Timiș,Bara,307020
Timiș,Cherestur,307036
Timiș,Pordeanu,307037
Timiș,Sânpetru Mic,307457
Timiș,Teremia Mică,307407
Timiș,Uihei,307061
Timiș,Vizejdia,307252
Timiș,Bogda,307070
Timiș,Altringen,307071
Timiș,Comeat,307074
Timiș,Sintar,307076
Timiș,Buzad,307072
Timiș,Charlotenburg,307073
Timiș,Dragșina,307106
Timiș,Ictar-Budinți,307422
Timiș,Iosifalău,307423
Timiș,Murani,307328
Timiș,Pustiniș,307448
Timiș,Remetea Mică,307273
Timiș,Suștra,307424
Timiș,Vucova,307107
Bihor,Cornițel,417068
Bihor,Damiș,417082
Bihor,Birtin,417616
Bihor,Orvișele,417093
Bihor,Sacalasău,417232
Bihor,Sacalasău Nou,417233
Bihor,Tinăud,415103
Bihor,Tomnatic,417617
Bihor,Valea Mare de Criș,417071
Bihor,Zece Hotare,417568
Bihor,Cacuciu Vechi,417026
Bihor,Cacuciu Nou,417337
Bihor,Coșdeni,417382
Bihor,Săliște de Pomezeu,417403
Bihor,Goila,417126
Bihor,Gurbești (Căbești),417127
Bihor,Josani (Căbești),417128
Bihor,Lunca,417320
Bihor,Hotărel,417322
Bihor,Seghiște,417324
Bihor,Albești,417401
Bihor,Cornișești,417241
Bihor,Topa de Jos,417247
Bihor,Topa de Sus,417248
Bihor,Alparea,417361
Bihor,Cadea,417436
Bihor,Calea Mare,417307
Bihor,Gruilung,417312
Bihor,Valea Mare de Codru,417287
Bihor,Cărănzel,417309
Bihor,Miheleu,417313
Bihor,Ciocaia,417437
Bihor,Dumbrăvița,417282
Bihor,Lupoaia,417286
Bihor,Forosig,417283
Bihor,Hodiș,417284
Bihor,Leș,417348
Bihor,Otomani,417446
Bihor,Sânnicolau de Munte,417441
Bihor,Suplacu de Tinca,417134
Bihor,Vășad,417226
Bihor,Vintere,417288
Bihor,Satu Nou,417054
Bihor,Almașu Mic (Balc),417042
Bihor,Ghida,417043
Bihor,Almașu Mic (Sârbi),417521
Bihor,Chioag,417523
Bihor,Burzuc,417522
Bihor,Căuașd,417601
Bihor,Fegernic,417524
Bihor,Fegernicu Nou,417526
Bihor,Sarcău,417527
Bihor,Hodoș,417451
Bihor,Dijir,417007
Bihor,Iteu,417008
Bihor,Iteu Nou,417009
Bihor,Margine,417011
Bihor,Satu Barbă,417012
Bihor,Râpa,417599
Bihor,Sântimreu,417452
Bihor,Tămașda,417037
Bihor,Tăut,417048
Bistrița-Năsăud,Figa,425102
Bistrița-Năsăud,Archiud,427346
Bistrița-Năsăud,Bârla,427151
Bistrița-Năsăud,Sântioana,427157
Bistrița-Năsăud,Cociu,427324
Bistrița-Năsăud,Coldău,425101
Bistrița-Năsăud,Dobric,427028
Bistrița-Năsăud,Domnești,427152
Bistrița-Năsăud,Nețeni,427156
Bistrița-Năsăud,Ghinda,420001
Bistrița-Năsăud,Liviu Rebreanu,425201
Bistrița-Năsăud,Mărișelu,427150
Bistrița-Năsăud,Jeica,427153
Bistrița-Năsăud,Măgurele,427154
Bistrița-Năsăud,Ocnița,427348
Bistrița-Năsăud,Orheiu Bistriței,427038
Bistrița-Năsăud,Comlod,427166
Bistrița-Năsăud,Orosfaia,427171
Bistrița-Năsăud,Rusu de Jos,425103
Bistrița-Năsăud,Bungard,427106
Bistrița-Năsăud,Sigmir,420003
Bistrița-Năsăud,Valea Măgherușului,427302
Bistrița-Năsăud,Brăteni,427261
Bistrița-Năsăud,La Curte,427262
Bistrița-Năsăud,Stupini,427264
Bistrița-Năsăud,Cristur-Șieu,427311
Bistrița-Năsăud,Șieu-Sfântu,427326
Bistrița-Năsăud,Șopteriu,427378
Bistrița-Năsăud,Sânnicoară,427053
Bistrița-Năsăud,Țentea,427056
Bistrița-Năsăud,Budurleni,427347
Bistrița-Năsăud,Viile Tecii,427351
Bistrița-Năsăud,Sălcuța,427263
Bistrița-Năsăud,Zoreni,427266
Bistrița-Năsăud,Coșeriu,427372
Bistrița-Năsăud,Delureni,427373
Bistrița-Năsăud,Podenii,427376
Bistrița-Năsăud,Scoabe,427377
Bistrița-Năsăud,Ciceu-Poieni,427027
Bistrița-Năsăud,Dobricel,427029
Bistrița-Năsăud,Ciceu-Corabia,427217
Bistrița-Năsăud,Lelești,427219
Bistrița-Năsăud,Buza Cătun,427048
Bistrița-Năsăud,Jimbor,427051
Bistrița-Năsăud,Manic,427052
Bistrița-Năsăud,Cușma,427121
Bistrița-Năsăud,Dorolea,427122
Bistrița-Năsăud,Cireași,427334
Bistrița-Năsăud,Lunca Sătească,427336
Bistrița-Năsăud,Oarzina,427338
Bistrița-Năsăud,Șendroaia,427341
Bistrița-Năsăud,Bichigiu,427071
Bistrița-Năsăud,Florești,427181
Bistrița-Năsăud,Mogoșeni,427186
Bistrița-Năsăud,Gersa I,427241
Bistrița-Năsăud,Gersa II,427242
Bistrița-Năsăud,Arșița,427146
Cluj,Bogata,407131
Cluj,Micești,407564
Cluj,Andici,407186
Cluj,Ciurgău,407189
Cluj,Dosu Napului,407191
Cluj,Morțești,407196
Cluj,Stârcu,407197
Cluj,Strucut,407198
Cluj,Valea lui Cati,407199
Cluj,Agârbiciu,407146
Cluj,Căpușu Mic,407148
Cluj,Coasta,407106
Cluj,Tăușeni,407108
Cluj,Dorolțu,407009
Cluj,Inucu,407011
Cluj,Macău,407013
Cluj,Băbuțiu,407596
Cluj,Făureni,407599
Cluj,Șoimeni,407601
Cluj,Tarnița,407391
Cluj,Arghișu,407006
Cluj,Dâncu,407008
Cluj,Ticu,407014
Cluj,Ticu-Colonie,407016
Cluj,Băgaciu,407451
Cluj,Mureșenii de Câmpie,407452
Cluj,Sava,407454
Cluj,Zorenii de Vale,407429
Cluj,Ciumăfaia,407113
Cluj,Giula,407114
Cluj,Chidea,407598
Cluj,Nădășelu,407297
Cluj,Peștera,405202
Cluj,Șomcutu Mic,405204
Cluj,Maia,407091
Cluj,Bologa,407471
Cluj,Cerbești,407472
Cluj,Vânători,407226
Cluj,Buteni,407382
Cluj,Ciuleni,407383
Maramureș,Berchez,437231
Maramureș,Buteasa,437337
Maramureș,Codru Butesii,437339
Maramureș,Dămăcușeni,435604
Maramureș,Posta,437233
Maramureș,Finteușu Mare,437341
Maramureș,Dăneștii Chioarului,437186
Maramureș,Lucăcești,437188
Maramureș,Săbișa,435401
Maramureș,Dealu Corbului,437382
Maramureș,Jugăstreni,437383
Maramureș,Sălnița,437386
Maramureș,Suciu de Jos,437318
Maramureș,Vălenii Șomcutei,437343
Maramureș,Copalnic-Deal,437104
Maramureș,Preluca Nouă,437109
Maramureș,Preluca Veche,437111
Maramureș,Aspra,437381
Maramureș,Borcut,435602
Maramureș,Cufoaia,435603
Maramureș,Inău,435609
Maramureș,Dobricu Lăpușului,435605
Maramureș,Dumbrava,435606
Maramureș,Stoiceni,435613
Maramureș,Odești,437031
Maramureș,Ferești,437162
Maramureș,Coștiui,437251
Maramureș,Crasna Vișeului,437046
Maramureș,Iapa,435501
Maramureș,Hărnicești,437136
Maramureș,Valea Hotarului,435505
Satu Mare,Blaja,445301
Satu Mare,Cean,447282
Satu Mare,Cehal,447095
Satu Mare,Chereușa,447271
Satu Mare,Cig,445302
Satu Mare,Berea,447261
Satu Mare,Ciumești,447262
Satu Mare,Domănești,447201
Satu Mare,Gelu,447322
Satu Mare,Rațiu,445303
Satu Mare,Orbău,447097
Satu Mare,Pișcari,447323
Satu Mare,Ghirolt,447203
Satu Mare,Istrău,447204
Satu Mare,Sânmiclăuș,447208
Satu Mare,Portița,447326
Satu Mare,Vezendiu,447327
Satu Mare,Bârsău de Jos,447036
Satu Mare,Boghiș,447126
Satu Mare,Traian,447129
Satu Mare,Comlăușa,447031
Satu Mare,Șirlău,447032
Satu Mare,Corund,447062
Satu Mare,Dumbrava,447182
Satu Mare,Gerăușa,447023
Satu Mare,Sărătura,447026
Satu Mare,Homorodu de Jos,447162
Satu Mare,Necopoi,447166
Satu Mare,Hurezu Mare,447293
Satu Mare,Racova,447294
Satu Mare,Dacia,447127
Satu Mare,Paulian,447128
Satu Mare,Orașu Nou-Vii,447221
Satu Mare,Racșa-Vii,447226
Satu Mare,Rătești,447044
Satu Mare,Șandra,447046
Satu Mare,Giungi,447043
Sălaj,Biușa,457037
Sălaj,Brusturi,457093
Sălaj,Jac,457096
Sălaj,Viile Jacului,457099
Sălaj,Cheud,457256
Sălaj,Cormeniș,457226
Sălaj,Valea Leșului,457228
Sălaj,Cristolțel,457317
Sălaj,Bârsa,457311
Sălaj,Domnin,457312
Sălaj,Horoatu Cehului,455101
Sălaj,Șeredeiu,457188
Sălaj,Lozna,457225
Sălaj,Nadiș,455103
Sălaj,Husia,455202
Sălaj,Rona,455203
Sălaj,Lemniu,457219
Sălaj,Toplița,457223
Sălaj,Tihău,457321
Sălaj,Bârsău Mare,457141
Sălaj,Bogdana,457052
Sălaj,Huta,457053
Sălaj,Ciumărna,457282
Sălaj,Stâna,450002
Sălaj,Petrinzel,457016
Sălaj,Firminiș,457251
Sălaj,Racâș,457179
Sălaj,Huseni,457086
Sălaj,Ratin,457088
Sălaj,Sânpetru Almașului,457181
Sălaj,Jebucu,457013
Sălaj,Sfăraș,457017
Sălaj,Colonia Sighetu Silvaniei,457071
Sălaj,Sighetu Silvaniei,457072
Sălaj,Zalnoc,457042
Sălaj,Ugruțiu,457133
Alba,Runc (Zlatna),516113
Alba,Vâltori (Zlatna),516118
Alba,Cheile Cibului,517033
Alba,Cib,517034
Alba,Nădăștia,517038
Alba,Almașu de Mijloc,517031
Alba,Glod,517036
Alba,Cârăști,517074
Alba,Cocești,517077
Alba,Coroiești,517079
Alba,Gojeiești,517084
Alba,Jojei,517088
Alba,Șoicești,517096
Alba,Valea Uțului,517102
Alba,Casa de Piatră,517043
Alba,Fața Lăpușului,517048
Alba,Hodobana,517051
Alba,Păntești,517053
Alba,Ravicești,517057
Alba,Sturu,517058
Alba,Bubești,517042
Alba,Dealu Bajului,517046
Alba,Galbena,517049
Alba,Pătrăhăițești,517054
Alba,Ștei-Arieșeni,517059
Alba,Vanvucești,517061
Alba,Achimețești,517066
Alba,Avrămești (Avram Iancu),517067
Alba,Bădăi,517068
Alba,Călugărești,517071
Alba,Căsoaia,517072
Alba,Cândești,517073
Alba,Cârțulești,517076
Alba,Cocoșești,517078
Alba,Dumăcești,517083
Alba,Orgești,517091
Alba,Târsa,517098
Alba,Târsa-Plai,517099
Alba,Verdești,517103
Alba,Dârlești,517343
Alba,Mătișești (Horea),517348
Alba,Petreasa,517352
Alba,Trifești (Horea),517356
Alba,Balomiru de Câmp,517751
Alba,Călene,515603
Alba,Mugești,515606
Alba,Reciu,517307
Alba,Plaiuri,517538
Alba,Purcăreți,517539
Alba,Strungari,517541
Alba,Tărtăria,517658
Alba,Ciocașu,517877
Alba,Crișeni,517878
Alba,Inuri,517883
Alba,Pârău lui Mihai,517888
Alba,Stăuini,517891
Alba,Valea lui Mihai,517894
Alba,Gura Cuțului,517881
Alba,Hațegana,517882
Alba,Laz (Vințu de Jos),517884
Alba,Mătăcina,517886
Alba,Poienița (Vințu de Jos),517889
Alba,Valea Vințului,517893
Alba,Mărgineni,517656
Alba,Săliștea-Deal,517657
Alba,Câmpu Goblii,517876
Alba,Dealu Ferului,517879
Alba,Mereteu,517887
Alba,Valea Goblii,517892
Alba,Vurpăr,517896
Alba,Arți,517776
Alba,Jidoștina,517779
Alba,Tău Bistra,517782
Alba,Gâmbaș,515203
Alba,Păgida,515208
Alba,Lunca Târnavei,517759
Alba,Obreja,517467
Alba,Deleni-Obârșie,515401
Alba,Flitești,515402
Alba,Tiur,515407
Alba,Iclod,517671
Alba,Pănade,517672
Brașov,Acriș,507246
Brașov,Cărpiniș,507221
Brașov,Colonia Reconstrucția,507066
Brașov,Râșnov Romacril,505401
Brașov,Corbi,507236
Brașov,Feldioara (Ucea),507237
Brașov,Sâmbăta de Jos,507264
Brașov,Mateiaș,507176
Covasna,Albiș,527071
Covasna,Alungeni,527161
Covasna,Bățani,527015
Covasna,Bățanii Mici,527017
Covasna,Boroșneu Mic,527041
Covasna,Valea Mică,527046
Covasna,Calnic,527167
Covasna,Chiuruș,525201
Covasna,Dobolii de Jos,527106
Covasna,Dobolii de Sus,527042
Covasna,Hătuica,527066
Covasna,Icafalău,527072
Covasna,Imeni,527067
Covasna,Mărtănuș,527061
Covasna,Olteni,527036
Covasna,Surcea,527192
Covasna,Zălan,527037
Covasna,Leț,527043
Covasna,Țufalău,527044
Harghita,Crișeni,537006
Harghita,Cușmed,537007
Harghita,Șiclod,537009
Harghita,Firtușu,537168
Harghita,Păltiniș,537171
Harghita,Păuleni,537172
Harghita,Satu Mic,537173
Mureș,Idicel,547131
Mureș,Idicel-Pădure,547132
Mureș,Săcalu de Pădure,547133
Mureș,Iara de Mureș,547281
Mureș,Ilioara,547282
Mureș,Mura Mică,547284
Mureș,Pădureni,547286
Mureș,Ulieș,547498
Mureș,Valea Sânmărtinului,547499
Mureș,Adrianu Mare,547246
Mureș,Adrianu Mic,547247
Mureș,Bedeni,547248
Mureș,Căciulata,547486
Mureș,Cotorinau,547488
Mureș,Curețe,547489
Mureș,Hagău,547491
Mureș,Leniș,547492
Mureș,Obârșie,547494
Mureș,Sânmărtinu de Câmpie,547497
Mureș,Valea Seacă,547501
Mureș,Valea Ulieșului,547502
Mureș,Bord,547191
Mureș,Șeulia de Mureș,547192
Sibiu,Pelișor,557038
Sibiu,Boarta,557246
Sibiu,Copșa Mare,557046
Sibiu,Lazaret,555703
Sibiu,Lotrioara,555704
Sibiu,Paltin,555705
Bacău,Bibirești,607647
Bacău,Boanța,607186
Bacău,Cornești,607188
Bacău,Cotu Grosului,607189
Bacău,Gorghești,607591
Bacău,Văleni (Stănișești),607594
Bacău,Reprivăț,607677
Bacău,Tomozia,607678
Bacău,Cornățelu,607331
Bacău,Gura Crăiești,607334
Bacău,Țepoaia,607341
Bacău,Hârlești,607192
Bacău,Onișcani,607193
Bacău,Poiana (Negri),607349
Bacău,Perchiu,607256
Bacău,Prădaiș,607257
Bacău,Banca,607141
Bacău,Bălănești (Dealu Morii),607142
Bacău,Bostănești,607147
Bacău,Calapodești,607148
Bacău,Dorofei,607151
Bacău,Ghionoaia,607152
Bacău,Tăvădărești,607156
Bacău,Băcioiu,607121
Bacău,Pogleț,607123
Bacău,Vâlcele (Corbasca),607127
Bacău,Conțești,607522
Bacău,Valea Nacului,607527
